Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1637345465.121038230;1784.470947;1728.708008;210.983994;3724.163086
1;1637345465.141101914;1619.593994;1726.163940;211.046005;3556.803955
2;1637345465.161161599;1637.739014;1725.588013;213.095001;3576.421875
3;1637345465.181221123;1603.854004;1732.465942;214.248001;3550.567871
4;1637345465.201281007;1622.000977;1726.352051;210.983994;3559.336914
5;1637345465.221340861;1641.854004;1728.673950;215.554993;3586.083008
6;1637345465.241400116;1587.862061;1723.619995;212.242004;3523.724121
7;1637345465.261460340;1611.564941;1729.588989;212.210999;3553.364990
8;1637345465.281519764;1635.126953;1721.988037;212.197006;3569.312012
9;1637345465.301579699;1647.032959;1723.026001;212.160995;3582.219971
10;1637345465.321639483;1608.422974;1723.619995;212.160995;3544.204102
11;1637345465.341699737;1619.526001;1726.133057;212.205994;3557.865234
12;1637345465.361759682;1624.847046;1723.682007;211.061996;3559.591064
13;1637345465.381819286;1591.807983;1723.651001;210.931000;3526.390137
14;1637345465.401879470;1608.484985;1718.628052;208.945999;3536.059082
15;1637345465.421939755;1620.847046;1721.322021;212.188995;3554.357910
16;1637345465.441999959;1601.172974;1720.293945;212.210999;3533.677734
17;1637345465.462087026;1612.764038;1723.553955;215.444000;3551.761963
18;1637345465.482147281;1622.251953;1723.651001;213.087006;3558.989990
19;1637345465.502207295;1636.746948;1723.046997;212.218002;3572.011963
20;1637345465.522267279;1597.603027;1727.793945;215.444000;3540.840820
21;1637345465.542326483;1612.094971;1721.137939;213.134995;3546.367920
22;1637345465.562386368;1621.956055;1721.774048;213.384995;3557.115234
23;1637345465.582446492;1596.050049;1722.166016;212.210999;3530.427002
24;1637345465.602506566;1615.746948;1719.442017;212.242004;3547.431152
25;1637345465.622566561;1618.838989;1716.686035;212.166000;3547.690918
26;1637345465.642626455;1623.975952;1721.140015;212.259003;3557.375000
27;1637345465.662686199;1599.458008;1725.264038;215.554993;3540.277100
28;1637345465.682746104;1604.697998;1720.472046;212.210999;3537.381104
29;1637345465.702805378;1632.480957;1725.052979;214.309998;3571.843994
30;1637345465.722864832;1593.860962;1720.290039;211.046005;3525.197021
31;1637345465.742924627;1616.114990;1721.957031;212.227997;3550.300049
32;1637345465.762983701;1617.270996;1721.985962;212.179993;3551.437012
33;1637345465.783043405;1635.692993;1717.993042;212.242004;3565.928223
34;1637345465.803103430;1600.098022;1721.985962;213.056000;3535.140137
35;1637345465.823164004;1607.092041;1717.683960;212.160995;3536.937012
36;1637345465.843224348;1631.485962;1716.848999;212.169998;3560.504883
37;1637345465.863284543;1585.824951;1720.259033;212.210999;3518.294922
38;1637345465.883344557;1604.051025;1720.290039;214.335999;3538.677002
39;1637345465.903404781;1624.989990;1719.531982;215.505997;3560.027832
40;1637345465.923464106;1634.224976;1719.411011;212.248993;3565.885010
41;1637345465.943524580;1595.936035;1721.137939;212.242004;3529.315918
42;1637345465.963585064;1621.224976;1719.442017;212.242004;3552.909180
43;1637345465.983644769;1625.326050;1723.553955;215.444000;3564.323975
44;1637345466.003704143;1588.234985;1716.087036;212.179993;3516.501953
45;1637345466.023800701;1600.375977;1719.411011;210.953003;3530.739990
46;1637345466.043860335;1624.254028;1711.758057;208.916000;3544.928223
47;1637345466.063920770;1645.025024;1713.546021;213.078003;3571.648926
48;1637345466.083981184;1609.149048;1721.790039;215.516006;3546.455078
49;1637345466.104041478;1625.760010;1713.531982;212.130005;3551.421875
50;1637345466.124108273;1631.213989;1718.777954;212.210999;3562.203125
51;1637345466.144181879;1799.093018;1717.714966;212.147003;3728.955078
52;1637345466.164247884;1818.494995;1716.686035;212.210999;3747.392090
53;1637345466.184312759;1837.266968;1720.228027;212.242004;3769.736816
54;1637345466.204384624;1783.883057;1720.062012;212.149002;3716.094238
55;1637345466.224448899;1797.832031;1715.171021;213.126007;3726.128906
56;1637345466.244520015;1820.084961;1716.686035;212.210999;3748.981934
57;1637345466.264591780;1819.849976;1717.697021;212.205994;3749.752930
58;1637345466.284681327;1797.154053;1716.866943;212.149002;3726.169922
59;1637345466.304772785;1910.512939;1716.206055;211.046005;3837.765137
60;1637345466.324842210;1907.186035;1719.380005;213.139999;3839.706055
61;1637345466.344906105;1769.854004;1719.380005;212.223007;3701.457031
62;1637345466.365009154;1911.482056;1716.206055;212.237000;3839.925293
63;1637345466.385114542;1939.479980;1716.104004;212.197006;3867.781006
64;1637345466.405194869;1863.937988;1717.745972;212.259003;3793.942871
65;1637345466.425292237;1916.116943;1722.401978;213.139999;3851.658936
66;1637345466.445391965;1923.078003;1715.251953;208.854004;3847.184082
67;1637345466.465483103;2109.199951;1717.714966;212.210999;4039.125977
68;1637345466.485581051;1841.126953;1723.524048;215.537994;3780.188965
69;1637345466.505682679;1930.369019;1720.860962;215.492996;3866.723145
70;1637345466.525778317;2002.364014;1716.897949;212.242004;3931.503906
71;1637345466.545869425;2017.298950;1718.623047;215.505997;3951.427979
72;1637345466.565934850;1862.687988;2163.499023;212.242004;4238.428711
73;1637345466.585996584;1991.046997;2543.770996;211.313004;4746.130859
74;1637345466.606091612;1976.354980;2542.860107;212.242004;4731.457031
75;1637345466.626151946;1928.609985;2548.111084;212.223007;4688.943848
76;1637345466.646212361;1935.720947;2533.993896;212.242004;4681.957031
77;1637345466.666272255;1962.594971;2533.416016;213.078003;4709.088867
78;1637345466.686332789;1993.124023;2546.157959;215.537994;4754.820312
79;1637345466.706393404;1995.225952;2520.092041;212.220001;4727.538086
80;1637345466.726454148;2032.661011;2539.423096;210.953003;4783.037109
81;1637345466.746514063;2048.010010;2539.364990;212.210999;4799.585938
82;1637345466.766574427;2001.362061;2543.138916;212.220001;4756.720703
83;1637345466.786633841;1989.144043;2539.115967;215.483994;4743.744141
84;1637345466.806694586;1965.125977;2544.555908;212.179993;4721.861816
85;1637345466.826754910;1898.016968;2547.100098;213.139999;4658.256836
86;1637345466.846815494;1908.312988;2517.548096;213.078003;4638.938965
87;1637345466.866875349;1940.062012;2524.558105;212.235001;4676.855469
88;1637345466.886935593;1978.191040;2545.127930;212.197006;4735.516113
89;1637345466.906995227;1972.750977;2536.576904;213.108994;4722.436523
90;1637345466.927055982;2005.535034;2532.708008;208.884003;4747.126953
91;1637345466.947116416;2043.597046;2545.406006;212.242004;4801.245117
92;1637345466.967176660;2006.578979;2530.221924;212.149002;4748.949707
93;1637345466.987236775;1992.942017;2534.668945;212.175003;4739.786133
94;1637345467.007297759;1976.901001;2547.929932;210.983994;4735.814941
95;1637345467.027358234;2001.583008;2552.852051;212.179993;4766.615234
96;1637345467.047418858;1967.792969;2540.416992;212.253006;4720.462891
97;1637345467.067479162;1952.526001;2547.949951;211.046005;4711.521973
98;1637345467.087540577;1983.724976;2547.918945;214.242996;4745.886719
99;1637345467.107601861;1941.567017;2541.246094;209.798996;4692.612305
100;1637345467.127662696;1944.214966;2574.266113;212.248993;4730.729980
101;1637345467.147723810;1962.219971;2575.071045;210.962006;4748.252930
102;1637345467.167784855;1976.880981;2565.738037;215.533005;4758.151855
103;1637345467.187845129;1941.918945;2555.532959;212.149002;4709.600586
104;1637345467.207905723;2015.243042;2556.429932;214.052002;4785.725098
105;1637345467.227965938;2045.272949;2531.804932;211.014999;4788.092773
106;1637345467.248026792;2009.203003;2527.595947;212.179993;4748.979004
107;1637345467.268086857;2011.383057;2518.320068;212.242004;4741.945312
108;1637345467.288147421;1989.305054;2523.357910;211.024002;4723.687012
109;1637345467.308208235;1959.822998;2528.352051;216.733994;4704.909180
110;1637345467.328269350;1903.214966;2526.540039;212.248993;4642.003906
111;1637345467.348329984;1933.916016;2532.584961;211.031006;4677.532227
112;1637345467.368389829;1978.243042;2536.926025;212.220001;4727.389160
113;1637345467.388450193;1965.641968;2543.614014;215.516006;4724.771973
114;1637345467.408511127;2031.009033;2537.029053;212.296997;4780.334961
115;1637345467.428572602;2058.198975;2530.988037;212.158005;4801.344727
116;1637345467.448633016;2046.713989;2542.788086;212.242004;4801.744141
117;1637345467.468693671;1969.435059;2548.616943;212.242004;4730.293945
118;1637345467.488754115;1981.234009;2543.678955;212.126999;4737.040039
119;1637345467.508815360;1985.058960;2547.102051;212.220001;4744.380859
120;1637345467.528876534;1949.668945;2552.191895;212.179993;4714.041016
121;1637345467.548937258;1937.301025;2541.092041;212.242004;4690.634766
122;1637345467.568997223;1978.720947;2555.486084;215.475998;4749.683105
123;1637345467.589058147;2010.485962;2552.839111;213.139999;4776.464844
124;1637345467.609119872;1965.553955;2540.318115;211.061996;4716.934082
125;1637345467.629180076;1990.313965;2559.669922;212.158005;4762.141602
126;1637345467.649240790;2022.608032;2540.416992;212.179993;4775.205078
127;1637345467.669300645;1989.567017;2550.491943;213.156998;4753.215820
128;1637345467.689361489;1958.973999;2683.629883;213.072998;4855.676758
129;1637345467.709421734;1982.800049;2681.750977;212.179993;4876.730957
130;1637345467.729481848;1989.788940;2676.814941;212.210999;4878.814941
131;1637345467.749543082;2019.777954;2686.990967;212.210999;4918.979980
132;1637345467.769603087;2025.036987;2688.718018;212.179993;4925.935059
133;1637345467.789665261;2032.595947;2662.356934;211.014999;4905.967773
134;1637345467.809725866;1958.557983;2676.847900;212.242004;4847.647949
135;1637345467.829786150;1941.379028;2675.062012;212.210999;4828.651855
136;1637345467.849847254;1927.753052;2659.836914;212.149002;4799.738770
137;1637345467.869907309;1912.211060;2647.138916;212.242004;4771.591797
138;1637345467.889968133;1966.776001;2634.434082;212.242004;4813.452148
139;1637345467.910028548;1998.598022;2634.327881;212.166000;4845.091797
140;1637345467.930077681;2037.666992;2635.176025;212.210999;4885.053711
141;1637345467.950138535;2040.301025;2617.531006;211.944000;4869.776367
142;1637345467.970198440;2022.708984;2620.877930;213.095001;4856.681641
143;1637345467.990261614;2021.319946;2629.252930;214.037994;4864.610840
144;1637345468.010323469;1951.425049;2618.128906;213.046997;4782.600586
145;1637345468.030384123;1950.968994;2629.357910;213.117996;4793.444824
146;1637345468.050444728;1954.753052;2602.190918;212.210999;4769.154785
147;1637345468.070505672;1964.788940;2614.910889;210.953003;4790.652832
148;1637345468.090566506;1963.202026;2614.939941;212.242004;4790.383789
149;1637345468.110626961;1986.925049;2587.849121;212.242004;4787.016113
150;1637345468.130688365;1989.051025;2585.759033;215.554993;4790.365234
151;1637345468.150749750;1972.275024;2596.285889;211.061996;4779.623047
152;1637345468.170810654;1995.288940;2598.647949;214.320007;4808.256836
153;1637345468.190871929;2009.187012;2594.741943;210.953003;4814.881836
154;1637345468.210932263;2015.493042;2590.094971;212.242004;4817.830078
155;1637345468.230992047;1999.680054;2561.558105;212.242004;4773.479980
156;1637345468.251053172;2000.331055;2549.627930;212.242004;4762.201172
157;1637345468.271113706;1976.272949;2558.028076;215.576004;4749.876953
158;1637345468.291174711;1917.447998;2546.156006;215.537994;4679.142090
159;1637345468.311235155;1936.562012;2541.166016;212.179993;4689.908203
160;1637345468.331295499;1953.537964;2551.342041;210.983994;4715.863770
161;1637345468.351355964;1996.704956;2536.937012;215.453995;4749.096191
162;1637345468.371417518;2011.192017;2541.159912;212.126999;4764.479004
163;1637345468.391478113;2055.521973;2538.695068;213.046997;4807.264160
164;1637345468.411538907;2047.531982;2526.751953;212.242004;4786.525879
165;1637345468.431599001;1978.168945;2520.089111;212.242004;4710.500000
166;1637345468.451660336;2020.354004;2545.561035;213.126007;4779.041016
167;1637345468.471720630;1644.027954;1755.060059;212.179993;3611.268066
168;1637345468.491782235;2009.288940;2638.670898;212.210999;4860.170898
169;1637345468.511842909;1943.170044;2636.139893;212.242004;4791.551758
170;1637345468.531903244;1939.557007;2617.459961;213.108994;4770.125977
171;1637345468.551963928;1965.406982;2630.156982;212.210999;4807.774902
172;1637345468.572023562;1961.430054;2616.466064;213.078003;4790.974121
173;1637345468.592084927;1993.222046;2619.961914;214.007004;4827.190918
174;1637345468.612145831;2010.953003;2636.895996;215.475998;4863.325195
