Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1637345485.636848842;1817.874023;2068.791016;211.268005;4097.933105
1;1637345485.656913117;1604.078003;2066.900879;210.953003;3881.932129
2;1637345485.676973321;1627.913940;2071.466064;212.242004;3911.622070
3;1637345485.697034245;1599.317993;2067.195068;211.330002;3877.843262
4;1637345485.717094290;1601.600952;2067.125977;211.281998;3880.008789
5;1637345485.737154854;1613.171997;2067.107910;212.242004;3892.521973
6;1637345485.757214639;1631.526001;2065.364014;212.259003;3909.148926
7;1637345485.777274353;1590.142944;2065.238037;210.085999;3865.466797
8;1637345485.797334097;1608.255005;2069.621094;211.330002;3889.206055
9;1637345485.817394482;1632.182983;2068.822021;212.220001;3913.225098
10;1637345485.837454336;1589.738037;2064.334961;211.046005;3865.118896
11;1637345485.857514200;1601.218994;2070.228027;214.279999;3885.727051
12;1637345485.877573854;1618.795044;2073.914062;214.675995;3907.385254
13;1637345485.897633899;1621.461060;2069.585938;212.242004;3903.289062
14;1637345485.917693763;1591.582031;2067.940918;212.210999;3871.733887
15;1637345485.937753617;1615.234985;2070.240967;215.453995;3900.930176
16;1637345485.957813522;1619.150024;2064.391113;210.126007;3893.666992
17;1637345485.977873786;1596.182983;2072.117920;215.537994;3883.838867
18;1637345485.997933360;1605.485962;2070.487061;212.188995;3888.162109
19;1637345486.017993105;1617.462036;2069.439941;212.149002;3899.050781
20;1637345486.038061780;1636.912964;2066.900879;211.313004;3915.126953
21;1637345486.058122194;1594.859009;2068.772949;212.188995;3875.820801
22;1637345486.078182429;1607.282959;2070.487061;212.149002;3889.918945
23;1637345486.098242383;1616.728027;2069.638916;212.205994;3898.572998
24;1637345486.118302367;1580.899048;2068.610107;211.052994;3860.562012
25;1637345486.138362452;1598.162964;2070.871094;212.210999;3881.245117
26;1637345486.158422336;1612.509033;2073.285889;215.505997;3901.301025
27;1637345486.178482270;1637.479980;2066.900879;212.210999;3916.591797
28;1637345486.198541915;1591.769043;2066.931885;212.179993;3870.880859
29;1637345486.218602069;1619.862061;2069.423096;212.242004;3901.527100
30;1637345486.238662033;1637.970947;2069.572998;211.014999;3918.558838
31;1637345486.258722808;1594.146973;2066.247070;212.149002;3872.542969
32;1637345486.278782822;1598.282959;2067.094971;211.324005;3876.701904
33;1637345486.298842716;1609.779053;2067.125977;212.179993;3889.084961
34;1637345486.318903221;1589.637939;2066.719971;210.953003;3867.310791
35;1637345486.338963055;1593.369019;2069.638916;212.227997;3875.235840
36;1637345486.359023220;1625.256958;2066.931885;211.298996;3903.487793
37;1637345486.379082954;1619.583008;2065.207031;210.931000;3895.720947
38;1637345486.399142698;1591.239990;2069.621094;211.031006;3871.892090
39;1637345486.419205593;1603.114014;2072.784912;215.516006;3891.415039
40;1637345486.439266237;1628.269043;2070.190918;212.227997;3910.687988
41;1637345486.459326892;1597.859985;2069.638916;212.227997;3879.727051
42;1637345486.479386486;1607.385010;2067.094971;211.251007;3885.730957
43;1637345486.499446040;1618.121948;2065.123047;211.330002;3894.575195
44;1637345486.519506225;1640.803955;2069.604004;212.242004;3922.649902
45;1637345486.539565769;1595.941040;2073.781982;214.309998;3884.033203
46;1637345486.559625743;1607.735962;2067.712891;212.179993;3887.628906
47;1637345486.579686008;1634.103027;2074.415039;214.358002;3922.875977
48;1637345486.599746122;1594.490967;2066.900879;210.992996;3872.384766
49;1637345486.619805946;1594.338013;2068.922119;211.343994;3874.604004
50;1637345486.639866941;1619.675049;2070.518066;212.197006;3902.390137
51;1637345486.659926615;1630.678955;2067.597900;212.179993;3910.456787
52;1637345486.679986909;1597.239990;2068.625977;211.281998;3877.147949
53;1637345486.700046924;1621.355957;2067.597900;211.046005;3899.999756
54;1637345486.720106928;1635.629028;2069.423096;212.242004;3917.293945
55;1637345486.740166862;1595.557007;2066.654053;211.330002;3873.541016
56;1637345486.760226497;1608.863037;2066.945068;212.237000;3888.045166
57;1637345486.780286521;1624.125977;2069.441895;211.294998;3904.862793
58;1637345486.800347135;1625.014038;2068.791016;212.149002;3905.954102
59;1637345486.820406900;1606.678955;2072.978027;212.179993;3891.836914
60;1637345486.840466874;1619.751953;2068.725098;212.210999;3900.687988
61;1637345486.860526238;1620.500000;2068.791016;212.227997;3901.519043
