Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1637345636.019895865;1705.587036;2513.179932;212.197006;4430.963867
1;1637345636.039970051;1631.796997;2513.107910;211.944000;4356.849121
2;1637345636.060030325;1597.187012;2507.974121;213.139999;4318.300781
3;1637345636.080089680;1603.121948;2510.518066;212.220001;4325.859863
4;1637345636.100149634;1633.145996;2509.728027;216.436005;4359.310059
5;1637345636.120210028;1592.400024;2513.186035;215.444000;4321.030273
6;1637345636.140270893;1603.307007;2510.504883;212.227997;4326.040039
7;1637345636.160330927;1616.206055;2512.200928;213.104004;4341.510742
8;1637345636.180390771;1638.668945;2517.080078;213.156998;4368.906250
9;1637345636.200451506;1600.036011;2513.146973;213.126007;4326.309082
10;1637345636.220511530;1617.333008;2505.441895;209.813995;4332.588867
11;1637345636.240572155;1641.286011;2507.902100;212.197006;4361.385254
12;1637345636.260632929;1604.628052;2518.001953;213.139999;4335.770020
13;1637345636.280693403;1607.707031;2512.229004;212.149002;4332.084961
14;1637345636.300753068;1617.031982;2517.752930;215.509003;4350.293945
15;1637345636.320812992;1638.134033;2512.332031;213.156998;4363.623047
16;1637345636.340872646;1595.887939;2510.504883;210.953003;4317.345703
17;1637345636.360932701;1611.692017;2505.513916;209.830994;4327.037109
18;1637345636.380992705;1639.032959;2511.615967;213.139999;4363.789062
19;1637345636.401053509;1602.522949;2514.881104;213.026993;4330.431152
20;1637345636.421113414;1614.916992;2511.353027;211.929001;4338.199219
21;1637345636.441173268;1634.509033;2510.464111;213.139999;4358.113281
22;1637345636.461232952;1634.066040;2513.148926;212.210999;4359.425781
23;1637345636.481292987;1609.462036;2512.282959;211.891006;4333.636230
24;1637345636.501353061;1621.500977;2508.900879;213.139999;4343.541992
25;1637345636.521413476;1639.973999;2507.206055;213.139999;4360.319824
26;1637345636.541473450;1586.192017;2513.835938;215.505997;4315.534180
27;1637345636.561533624;1615.850952;2516.372070;215.207993;4347.431152
28;1637345636.581593989;1634.301025;2515.632080;215.444000;4365.376953
29;1637345636.601653303;1637.170044;2512.282959;212.149002;4361.602051
30;1637345636.621713527;1606.052002;2515.808105;215.533005;4337.393066
31;1637345636.641773322;1626.769043;2512.332031;213.078003;4352.179199
32;1637345636.661833356;1632.217041;2508.156006;212.242004;4352.615234
33;1637345636.681893350;1592.432983;2517.291992;216.404007;4326.128906
