Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1637345615.949484196;1699.265015;2503.125977;215.444000;4417.834961
1;1637345615.969557652;1628.739014;2498.644043;215.533005;4342.916016
2;1637345615.989617196;1596.050049;2496.268066;212.235001;4304.553223
3;1637345616.009677290;1616.464966;2498.030029;212.149002;4326.644043
4;1637345616.029737015;1633.577026;2496.916992;212.210999;4342.705078
5;1637345616.049796919;1594.593018;2498.483887;212.242004;4305.318848
6;1637345616.069857023;1603.322021;2497.798096;211.046005;4312.166016
7;1637345616.089917108;1617.395996;2499.480957;212.149002;4329.025879
8;1637345616.109976772;1633.503052;2506.751953;215.475998;4355.730957
9;1637345616.130037706;1597.718018;2502.900879;213.108994;4313.727539
10;1637345616.150061377;1614.521973;2498.631104;212.257996;4325.411133
11;1637345616.170121151;1621.659058;2499.579102;212.149002;4333.387207
12;1637345616.190180916;1600.211060;2500.492920;213.095001;4313.798828
13;1637345616.210240290;1597.625977;2497.145996;208.945999;4303.717773
14;1637345616.230300034;1618.897949;2501.926025;216.639999;4337.463867
15;1637345616.250359759;1641.947021;2500.129883;208.854004;4350.930664
16;1637345616.270419553;1595.345947;2497.065918;212.188995;4304.600586
17;1637345616.290480107;1620.975952;2497.604980;212.149002;4330.729980
18;1637345616.310540392;1637.873047;2499.479004;212.227997;4349.580078
19;1637345616.330600656;1603.824951;2498.383057;211.031006;4313.239258
20;1637345616.350660720;1598.948975;2503.753906;216.373993;4319.077148
21;1637345616.370721435;1620.843994;2501.837891;215.522995;4338.205078
22;1637345616.390781439;1647.941040;2497.033936;208.910995;4353.885742
23;1637345616.410841263;1592.048950;2499.332031;212.279999;4303.661133
24;1637345616.430900688;1620.881958;2496.330078;208.916000;4326.127930
25;1637345616.450960632;1643.022949;2500.387939;211.046005;4354.457031
26;1637345616.471021016;1596.005981;2500.658936;212.179993;4308.844727
27;1637345616.491080741;1612.248047;2493.747070;207.727997;4313.723145
28;1637345616.511140795;1615.907959;2498.664062;212.259003;4326.831055
29;1637345616.531201139;1638.364990;2497.042969;212.242004;4347.649902
30;1637345616.551261024;1594.530029;2488.686035;208.916000;4292.131836
31;1637345616.571321118;1610.941040;2497.743896;212.197006;4320.881836
32;1637345616.591381242;1627.769043;2498.030029;212.192001;4337.991211
33;1637345616.611440757;1603.796997;2501.277100;212.149002;4317.223145
34;1637345616.631500851;1611.636963;2504.391113;215.522995;4331.550781
35;1637345616.651561145;1619.045044;2497.032959;212.242004;4328.319824
36;1637345616.671621920;1644.470947;2497.916016;212.242004;4354.628906
37;1637345616.691682134;1596.281982;2502.233887;212.210999;4310.726562
38;1637345616.711741749;1609.526978;2499.579102;213.063995;4322.169922
39;1637345616.731801213;1642.520996;2506.920898;212.149002;4361.590820
40;1637345616.751860867;1588.732056;2501.258057;216.617996;4306.607910
41;1637345616.771921001;1610.626953;2502.874023;215.522995;4329.023926
42;1637345616.791981246;1620.282959;2499.708984;212.149002;4332.140625
43;1637345616.812041320;1604.156982;2501.080078;215.444000;4320.681152
44;1637345616.832101405;1605.756958;2499.511963;212.220001;4317.488770
45;1637345616.852161089;1609.583984;2498.592041;213.376007;4321.551758
46;1637345616.872221153;1630.899048;2500.428955;213.108994;4344.437012
47;1637345616.892281268;1599.761963;2497.695068;212.130005;4309.586914
