ARCH;Model;Power PS (mW);Power PL (mW)
512;Idle;1565.9930746462912;1604.6600630450876
512;MobileNet;1843.23927475;1881.937788166667
512;VGG-16;2147.5081955434785;1870.7269569999996
512;UNet;2184.5767921154807;1622.4821099312037
512;ResNet-50;2345.3286325235495;1679.6729646681274
512;DenseNet-201;2256.6617750063965;1742.1338864705895
1024;Idle;1727.852338579156;1609.4103112224489
1024;MobileNet;2082.7297465833335;1885.335876527778
1024;VGG-16;2564.058741568808;1943.8969177706417
1024;UNet;2776.207107253113;1678.433694556018
1024;ResNet-50;3016.4344415337428;1739.3553818588948
1024;DenseNet-201;2770.342056934782;1818.9465200805646
2304;Idle;2069.980301462927;1611.3186891242474
2304;MobileNet;2405.4774467567577;1892.3423741891893
2304;VGG-16;3237.9798294736843;2075.78667575
2304;UNet;3566.7403422085895;1707.579073098159
2304;ResNet-50;4349.914307859297;1859.8558919648244
2304;DenseNet-201;3849.0536516396683;1935.259832833059
4096;Idle;2498.735424243486;1615.1220202865718
4096;MobileNet;2837.1751006060604;1914.0570956363638
4096;VGG-16;3952.7267423333324;2231.4628542280707
4096;UNet;4216.192909081969;1759.471901795082
4096;ResNet-50;5587.021848704543;1935.1622684318188
4096;DenseNet-201;4790.213793121212;2051.3589569999995
