ARCH;Model;Runtime (s)
512;MobileNet;0.7364788055419922
512;VGG-16;2.764803886413574
512;UNet;9.78292179107666
512;ResNet-50;26.116488933563232
512;DenseNet-201;35.68031454086304
1024;MobileNet;0.7334113121032715
1024;VGG-16;2.188753128051758
1024;UNet;5.821607351303101
1024;ResNet-50;14.409518003463745
1024;DenseNet-201;21.722438097000122
2304;MobileNet;0.735825777053833
2304;VGG-16;1.5192840099334717
2304;UNet;3.926626443862915
2304;ResNet-50;7.665228366851807
2304;DenseNet-201;12.121867656707764
4096;MobileNet;0.6568481922149658
4096;VGG-16;1.145369052886963
4096;UNet;2.9246461391448975
4096;ResNet-50;5.290171384811401
4096;DenseNet-201;8.106547117233276
