Scheduler;Workload;NPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);Etot_idle(mJ)
Round-Robin;Workload_Large;4x2304;5392936;64.09731803691993;22865.661308220537;0.0
Round-Robin;Workload_Medium;4x2304;1378606;16.741499675095703;23889.01583320084;0.0
Round-Robin;Workload_VGG;4x2304;1333921;4.476839819184178;23889.01583320084;0.0
Round-Robin;Workload_ResNet;4x2304;1342900;23.463495425716093;145099.61162691272;0.0
Round-Robin;Workload_Small;4x2304;446640;12.09356451034546;127894.73401595345;96574.92139913511
Round-Robin;Workload_MobileNet;4x2304;1331568;2.071461495788357;8874.862887144713;0.0
Round-Robin;Workload_DenseNet;4x2304;1361248;36.95420195969418;212943.3579036306;0.0
Round-Robin;Workload_Large;1x512_1x1024_1x2304_1x4096;4836674;190.82030592377592;25917.65374238816;1312468.0715561165
Round-Robin;Workload_Medium;1x512_1x1024_1x2304_1x4096;1346206;49.84012104507186;27077.600436106142;342801.9216166577
Round-Robin;Workload_VGG;1x512_1x1024_1x2304_1x4096;1375915;8.39464883652905;27077.600436106142;40353.859094846244
Round-Robin;Workload_ResNet;1x512_1x1024_1x2304_1x4096;1348081;79.79566515514601;198587.1493978099;583288.5994917898
Round-Robin;Workload_Small;1x512_1x1024_1x2304_1x4096;465992;26.113783359527588;183912.45041401032;237012.42179295298
Round-Robin;Workload_MobileNet;1x512_1x1024_1x2304_1x4096;1372187;2.2486153733275014;8865.181332282877;1658.7707565191367
Round-Robin;Workload_DenseNet;1x512_1x1024_1x2304_1x4096;1341751;108.92155481528488;280426.6683402983;745906.4571234756
Round-Robin;Workload_Large;4x1024_1x2304;5591875;101.93168556738156;80052.36604580803;311575.53864481056
Round-Robin;Workload_Medium;4x1024_1x2304;1525871;29.829602321170896;105572.38069896134;127240.89485529443
Round-Robin;Workload_VGG;4x1024_1x2304;1548848;6.66562509755959;36377.97487444485;27670.977587246896
Round-Robin;Workload_ResNet;4x1024_1x2304;1525030;44.087402119726804;248309.4978652081;200102.30930112326
Round-Robin;Workload_Small;4x1024_1x2304;508106;21.70505213737488;180154.2346375079;237234.62767035302
Round-Robin;Workload_MobileNet;4x1024_1x2304;1499823;2.241439317177313;11154.14541392171;7731.840493552221
Round-Robin;Workload_DenseNet;4x1024_1x2304;1514452;66.32394275021989;360102.14413571096;296425.7610866303
Round-Robin;Workload_Large;2x512_1x1024_1x2304_1x4096;5636016;169.8551643211272;70701.7812365335;1330815.013696365
Round-Robin;Workload_Medium;2x512_1x1024_1x2304_1x4096;1547371;49.84012104507186;137286.39928777172;418265.53054873785
Round-Robin;Workload_VGG;2x512_1x1024_1x2304_1x4096;1535616;8.39464883652905;35876.73400227061;59162.838821449215
Round-Robin;Workload_ResNet;2x512_1x1024_1x2304_1x4096;1547673;79.79566515514601;281435.2294644294;714424.6333493071
Round-Robin;Workload_Small;2x512_1x1024_1x2304_1x4096;508245;26.113783359527588;214077.94072011212;291265.9166795664
Round-Robin;Workload_MobileNet;2x512_1x1024_1x2304_1x4096;1521472;2.2486153733275014;11077.489924157513;8880.510536982052
Round-Robin;Workload_DenseNet;2x512_1x1024_1x2304_1x4096;1507338;108.92155481528488;392963.64690034353;936907.207457619
Round-Robin;Workload_Large;3x1024_2x4096;5652087;101.93168556738156;68262.45600651653;640314.1019095924
Round-Robin;Workload_Medium;3x1024_2x4096;1548347;29.829602321170896;102507.85017816664;224075.75842904352
Round-Robin;Workload_VGG;3x1024_2x4096;1565310;6.66562509755959;33313.44435365016;43721.69036263726
Round-Robin;Workload_ResNet;3x1024_2x4096;1548899;44.087402119726804;219733.02182397927;328990.0239928009
Round-Robin;Workload_Small;3x1024_2x4096;493895;21.70505213737488;177182.73845892717;265821.9670361975
