Scheduler;Workload;NPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);Etot_idle(mJ)
Random;Workload_Large;4x2304;190889;46.027862455238726;65803.08534502483;196550.98021878785
Random;Workload_Medium;4x2304;159319;19.283153143102666;109705.73416901415;90804.00366380738
Random;Workload_Mid-energy skew;4x2304;145353;8.22725004593976;24553.485611573466;62928.75734281658
Random;Workload_High-energy skew;4x2304;146124;30.208848692705136;214587.85040811345;197811.3230227824
Random;Workload_Small;4x2304;130793;16.46977514673264;8967.23486175057;177868.31306747507
Random;Workload_Uniform;4x2304;135004;25.717275031029263;25855.45016862402;240468.62339548336
Random;Workload_Low-energy skew;4x2304;135377;6.642012470183456;48871.51532058534;54742.86567749447
Random;Workload_Large;1x512_1x1024_1x2304_1x4096;145512;82.49224003951988;149725.58521377257;532279.4617130659
Random;Workload_Medium;1x512_1x1024_1x2304_1x4096;139838;68.14667354936628;131038.05007685791;643892.8875980645
Random;Workload_Mid-energy skew;1x512_1x1024_1x2304_1x4096;128480;13.20159813517772;30052.287396531083;109603.94962112539
Random;Workload_High-energy skew;1x512_1x1024_1x2304_1x4096;142991;30.208848692705136;186185.63629056572;167594.68405991964
Random;Workload_Small;1x512_1x1024_1x2304_1x4096;123018;35.64546871185303;187493.01515846406;365583.89853032073
Random;Workload_Uniform;1x512_1x1024_1x2304_1x4096;153252;30.515645278167977;63444.52071798836;243143.41189976464
Random;Workload_Low-energy skew;1x512_1x1024_1x2304_1x4096;135970;21.39294155982231;92408.2080693499;219747.06112594472
Random;Workload_Large;4x1024_1x2304;155312;58.83477135459671;71626.89219195454;295738.16359908803
Random;Workload_Medium;4x1024_1x2304;138691;40.43826096238609;104036.31056325954;381865.36426539125
Random;Workload_Mid-energy skew;4x1024_1x2304;136374;14.915022908005824;30715.26947189401;168834.94751447628
Random;Workload_High-energy skew;4x1024_1x2304;128411;39.21069065258249;309758.77124253963;298296.2103578315
Random;Workload_Small;4x1024_1x2304;128907;28.719591410718728;91404.2575666776;380163.44104351115
Random;Workload_Uniform;4x1024_1x2304;128690;45.94116826530414;23528.225042478523;564400.796162094
Random;Workload_Low-energy skew;4x1024_1x2304;132455;7.67862057685852;62495.850268351656;80304.9731757573
