Scheduler;Workload;NPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);Etot_idle(mJ)
Random;Workload_Mid-energy skew;4x2304;167760;8.22725004593976;26066.872370833487;62182.814880157486
Random;Workload_High-energy skew;4x2304;157539;22.089508157577637;231548.78697729288;79269.87087935748
Random;Workload_Uniform;4x2304;153230;18.059906367481105;21049.81442061024;128455.28615223904
Random;Workload_Low-energy skew;4x2304;137238;7.006313990744372;45045.58459900152;61257.13978865837
Random;Workload_Mid-energy skew;1x512_1x1024_1x2304_1x4096;129316;8.140469315517457;26574.260772337446;58885.414717808264
Random;Workload_High-energy skew;1x512_1x1024_1x2304_1x4096;130759;50.025599963336404;286594.2307355149;369283.0350152199
Random;Workload_Uniform;1x512_1x1024_1x2304_1x4096;128098;23.17188618458252;75473.88915188596;154665.19051706165
Random;Workload_Low-energy skew;1x512_1x1024_1x2304_1x4096;124211;21.97301479937859;89656.32292236036;230367.27819858972
Random;Workload_Mid-energy skew;4x1024_1x2304;125435;13.449621269228672;31185.387497076405;147523.70417211697
Random;Workload_High-energy skew;4x1024_1x2304;130445;44.85416759226358;338491.61053691857;377276.6066100288
Random;Workload_Uniform;4x1024_1x2304;130504;28.59048088078472;197338.98323168175;251647.49239181975
Random;Workload_Low-energy skew;4x1024_1x2304;133670;12.050803277209498;68008.70580282209;145418.12177069404
Random;Workload_Mid-energy skew;2x512_1x1024_1x2304_1x4096;129068;28.05688422684728;22253.90975160723;375813.39920315647
Random;Workload_High-energy skew;2x512_1x1024_1x2304_1x4096;127544;57.417545022420214;307291.13571147324;565121.133865643
Random;Workload_Uniform;2x512_1x1024_1x2304_1x4096;117898;52.93441595458642;22508.732919920294;638589.1439628117
Random;Workload_Low-energy skew;2x512_1x1024_1x2304_1x4096;126804;12.050803277209498;68345.37601071048;150886.72041196897
Random;Workload_Mid-energy skew;3x1024_2x4096;136777;5.076114087488187;26084.099945251925;31748.65565127875
Random;Workload_High-energy skew;3x1024_2x4096;122333;28.719591410718728;319960.82918988937;199083.13461657998
Random;Workload_Uniform;3x1024_2x4096;133708;57.523478152139496;24402.200543694817;831002.162761527
Random;Workload_Low-energy skew;3x1024_2x4096;136300;13.449621269228672;15197.153127760474;184660.295965796
Random;Workload_Mid-energy skew;2x2304_2x4096;120537;9.223503720817158;24307.721265768065;86130.58511979016
Random;Workload_High-energy skew;2x2304_2x4096;123008;16.742269596712827;180297.62759608848;65176.162354368316
Random;Workload_Uniform;2x2304_2x4096;130089;13.817540193471821;19474.585457735513;100997.43702554629
Random;Workload_Low-energy skew;2x2304_2x4096;134642;7.857053199278712;47686.068857243874;79578.45811877614
Random;Workload_Mid-energy skew;1x512_3x4096;127345;22.939579145669022;24768.07654442586;253580.06855830952
Random;Workload_High-energy skew;1x512_3x4096;133295;75.53861860845008;190676.67097905837;812780.4392775029
Random;Workload_Uniform;1x512_3x4096;129340;30.344706498106326;62507.8073121973;295682.65564052504
Random;Workload_Low-energy skew;1x512_3x4096;139193;5.271979808807373;55251.00421773862;34608.938815767724
Random;Workload_Mid-energy skew;4x1024;132395;13.449621269228672;30807.7664804473;93732.52225519948
Random;Workload_High-energy skew;4x1024;136188;49.64653727735007;329055.5223712594;258128.10169011186
Random;Workload_Uniform;4x1024;117568;32.272301659610456;19603.773626021986;213363.42330383783
Random;Workload_Low-energy skew;4x1024;135540;12.050803277209498;67246.44158837051;100314.88036110715
Random;Workload_Mid-energy skew;4x512;129719;24.512581318222733;34486.556342594005;189721.0732245869
Random;Workload_High-energy skew;4x512;134148;113.15136316646655;441922.8029082279;792658.1387760709
Random;Workload_Uniform;4x512;138167;51.41344859771925;29834.25071052042;315397.947901485
Random;Workload_Low-energy skew;4x512;123057;22.952761439022524;15454.168142312163;204673.4907946758
Random;Workload_Mid-energy skew;3x4096;141845;5.076114087488187;15881.883195448756;15044.795549629856
Random;Workload_High-energy skew;3x4096;125853;19.670101405091533;131420.06393753205;62957.04934781002
Random;Workload_Uniform;3x4096;126720;13.932136671409602;13485.515651870584;64919.10433656711
Random;Workload_Low-energy skew;3x4096;120284;4.712141844931757;38997.59418014803;20657.2952085174
Round-Robin;Workload_Mid-energy skew;4x2304;900124;8.22725004593976;24553.485611573466;62873.25680567989
Round-Robin;Workload_High-energy skew;4x2304;968054;16.46977514673264;217520.21458717098;4981.204764093823
Round-Robin;Workload_Uniform;4x2304;1057043;11.040628042309786;24251.453894131366;24993.88206718759
Round-Robin;Workload_Low-energy skew;4x2304;909694;7.006313990744372;47505.0809516897;60867.06794026806
Round-Robin;Workload_Mid-energy skew;1x512_1x1024_1x2304_1x4096;917894;14.572448369151488;27771.513857115104;127676.4679488762
Round-Robin;Workload_High-energy skew;1x512_1x1024_1x2304_1x4096;974151;48.4657800841362;285774.97674025287;332836.9762928293
Round-Robin;Workload_Uniform;1x512_1x1024_1x2304_1x4096;1044747;22.952761439022524;27488.414890131262;137076.9168617866
Round-Robin;Workload_Low-energy skew;1x512_1x1024_1x2304_1x4096;899662;21.39294155982231;93426.15404665822;218489.88850768766
Round-Robin;Workload_Mid-energy skew;4x1024_1x2304;1004199;13.20159813517772;37400.61125849756;140079.24045792758
Round-Robin;Workload_High-energy skew;4x1024_1x2304;1105583;28.719591410718728;344011.68335796846;131414.96224287915
Round-Robin;Workload_Uniform;4x1024_1x2304;1211953;29.713307980707533;107939.56935453045;285935.39349505445
Round-Robin;Workload_Low-energy skew;4x1024_1x2304;1009422;12.050803277209498;67473.37292184583;145775.31088216274
Round-Robin;Workload_Mid-energy skew;2x512_1x1024_1x2304_1x4096;1000786;22.939579145669022;36900.79926590154;289720.5330241278
Round-Robin;Workload_High-energy skew;2x512_1x1024_1x2304_1x4096;1112522;48.4657800841362;372099.24807679275;451825.1416900273
Round-Robin;Workload_Uniform;2x512_1x1024_1x2304_1x4096;1158289;50.025599963336404;107394.50467407782;566649.3413054936
Round-Robin;Workload_Low-energy skew;2x512_1x1024_1x2304_1x4096;1009143;6.642012470183456;49790.53461647957;74069.22443701515
Round-Robin;Workload_Mid-energy skew;3x1024_2x4096;1020747;13.20159813517772;34259.74837260922;161370.37584503726
Round-Robin;Workload_High-energy skew;3x1024_2x4096;1096073;28.59048088078472;299916.6239532025;228709.07916036312
Round-Robin;Workload_Uniform;3x1024_2x4096;1169517;29.713307980707533;104798.70646864208;323817.25689662196
Round-Robin;Workload_Low-energy skew;3x1024_2x4096;1013196;4.712141844931757;43725.860316840066;48655.57048096726
Round-Robin;Workload_Mid-energy skew;2x2304_2x4096;908920;8.22725004593976;22995.426374992145;72439.71122900388
Round-Robin;Workload_High-energy skew;2x2304_2x4096;974713;16.46977514673264;197002.49519372566;47000.76527175018
Round-Robin;Workload_Uniform;2x2304_2x4096;1050737;7.700285799456472;22731.26015846656;609.5728729410217
Round-Robin;Workload_Low-energy skew;2x2304_2x4096;895771;7.006313990744372;47816.2560697896;66192.89525753574
Round-Robin;Workload_Mid-energy skew;1x512_3x4096;917547;5.817010245560928;24768.076544425858;35663.435732125006
Round-Robin;Workload_High-energy skew;1x512_3x4096;1006947;49.08808470815723;244395.8681473675;463741.19554569334
Round-Robin;Workload_Uniform;1x512_3x4096;1104571;30.344706498106326;24423.884369336563;295125.63490917964
Round-Robin;Workload_Low-energy skew;1x512_3x4096;905491;5.106756989331444;40587.76750177214;42156.06091900628
Round-Robin;Workload_Mid-energy skew;4x1024;886318;14.572448369151488;30807.766480447295;108587.9922083407
Round-Robin;Workload_High-energy skew;4x1024;965045;29.713307980707533;309119.4247729278;7000.688461973496
Round-Robin;Workload_Uniform;4x1024;1044714;19.093098208909765;30428.80103465092;37332.77461616344
Round-Robin;Workload_Low-energy skew;4x1024;919369;12.326794169305858;65255.396803367315;105244.1498016809
Round-Robin;Workload_Mid-energy skew;4x512;938863;24.512581318222733;34486.556342594005;189721.0732245869
Round-Robin;Workload_High-energy skew;4x512;986754;50.025599963336404;442439.05473877344;7900.334594063088
Round-Robin;Workload_Uniform;4x512;1025150;30.344706498106326;34062.338208941;46768.92457383892
Round-Robin;Workload_Low-energy skew;4x512;900023;21.39294155982231;93885.73431725215;185278.2144771193
Round-Robin;Workload_Mid-energy skew;3x4096;763660;5.817010245560928;15829.04995214364;24396.15594741547
Round-Robin;Workload_High-energy skew;3x4096;873208;17.34340085562981;130420.06718786448;35127.00788157417
Round-Robin;Workload_Uniform;3x4096;906583;11.612590939684813;15670.550222228288;36302.13696754962
Round-Robin;Workload_Low-energy skew;3x4096;770577;5.106756989331444;38286.76114902022;25800.301744710236
Greedy;Workload_Mid-energy skew;4x2304;201531504;14.829719790493572;5774.560470519923;162384.17189545702
Greedy;Workload_High-energy skew;4x2304;235451978;60.937577011810625;51351.251429743956;667261.2915263429
Greedy;Workload_Uniform;4x2304;267352761;35.384423574136676;5749.215151573733;387456.43216857
Greedy;Workload_Low-energy skew;4x2304;202121307;10.759647638531618;5774.560470519923;117817.22759117052
Greedy;Workload_Mid-energy skew;1x512_1x1024_1x2304_1x4096;243809042;36.065651421985095;8110.649061021019;397924.2333873855
Greedy;Workload_High-energy skew;1x512_1x1024_1x2304_1x4096;286499388;186.62748018101277;104449.13906208046;2059122.5737511283
Greedy;Workload_Uniform;1x512_1x1024_1x2304_1x4096;297660742;101.08049160015334;8075.050336518671;1115254.419219837
Greedy;Workload_Low-energy skew;1x512_1x1024_1x2304_1x4096;200309961;25.666123247852394;8110.649061021019;283182.8073179351
Greedy;Workload_Mid-energy skew;4x1024_1x2304;249413009;24.088775444828048;7245.460514948009;326951.7435258633
Greedy;Workload_High-energy skew;4x1024_1x2304;290091118;110.25805289338955;72975.6052027573;1496508.7251456962
