Scheduler;Workload;NPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);Etot_idle(mJ)
Random;Workload_Large;4x2304;144211;45.68400397355873;69238.50785825738;191371.1663603152
Random;Workload_Medium;4x2304;130051;20.114176308590224;69642.64279637655;107173.5285503261
Random;Workload_Mid-energy skew;4x2304;124140;7.616782018342066;24553.485611573466;53960.492749845565
Random;Workload_High-energy skew;4x2304;120633;19.22464729402061;201097.73174546685;44237.01710507364
Random;Workload_Small;4x2304;114046;16.46977514673264;8967.23486175057;177868.31306747507
Random;Workload_Uniform;4x2304;126314;21.78344904150041;136114.56260965922;173164.7897786578
Random;Workload_Low-energy skew;4x2304;119866;7.006313990744372;47505.0809516897;60867.06794026806
Random;Workload_Large;1x512_1x1024_1x2304_1x4096;136162;97.57188132468235;69534.56672446502;713828.5530636543
Random;Workload_Medium;1x512_1x1024_1x2304_1x4096;128359;34.50363798716286;98468.5557147628;228639.6357773886
Random;Workload_Mid-energy skew;1x512_1x1024_1x2304_1x4096;120080;17.50857571203937;29197.044607051976;166080.26730076264
Random;Workload_High-energy skew;1x512_1x1024_1x2304_1x4096;121628;61.89935414783225;201318.02497353058;542352.7261252376
Random;Workload_Small;1x512_1x1024_1x2304_1x4096;115372;8.15833044052124;116635.89607973697;45001.28549008199
Random;Workload_Uniform;1x512_1x1024_1x2304_1x4096;120897;24.512581318222733;114990.3147224717;136614.1293875447
Random;Workload_Low-energy skew;1x512_1x1024_1x2304_1x4096;120179;6.76545453447288;9603.298222475336;60839.73024713491
Random;Workload_Large;4x1024_1x2304;142168;97.76091419554751;97198.06868648091;945615.3528456431
Random;Workload_Medium;4x1024_1x2304;122635;28.719591410718728;102470.78115294402;202829.47305764153
Random;Workload_Mid-energy skew;4x1024_1x2304;111292;14.4279625415802;99260.23849008954;149151.74193514377
Random;Workload_High-energy skew;4x1024_1x2304;120447;39.21069065258249;309801.9553109781;287028.4162755455
Random;Workload_Small;4x1024_1x2304;115262;12.050803277209498;8503.30724805125;124227.88064065595
Random;Workload_Uniform;4x1024_1x2304;124615;24.71230024752552;137499.71724600455;249743.36039774507
