Scheduler;Workload;NPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);Etot_idle(mJ)
Random;Workload_Large;4x2304;133615;42.38954342479191;115902.68993053578;143586.04633707725
Random;Workload_Medium;4x2304;128389;20.114176308590224;65492.404771453854;103127.96892885177
Random;Workload_Mid-energy skew;4x2304;116053;9.223503720817158;18158.387248854313;78439.2172850287
Random;Workload_High-energy skew;4x2304;116484;21.2884542235578;214170.87191793494;67695.24481191179
Random;Workload_Small;4x2304;104511;15.71551895259756;61603.53371806291;165866.57113330704
Random;Workload_Uniform;4x2304;112327;15.71551895259756;69780.7144386358;92730.05186586737
Random;Workload_Low-energy skew;4x2304;120440;6.642012470183456;48331.72740894781;55107.13623296265
Random;Workload_Large;1x512_1x1024_1x2304_1x4096;130904;66.82700949123887;63268.27830978557;372870.6421143744
Random;Workload_Medium;1x512_1x1024_1x2304_1x4096;117736;75.53861860845008;122589.44396009782;735234.7498091939
Random;Workload_Mid-energy skew;1x512_1x1024_1x2304_1x4096;119974;8.39464883652905;29695.28259818797;49639.510008491416
Random;Workload_High-energy skew;1x512_1x1024_1x2304_1x4096;115262;93.96068806752888;261972.6594301339;910190.6524408936
Random;Workload_Small;1x512_1x1024_1x2304_1x4096;110186;22.952761439022524;65137.27795813249;219994.0412732666
Random;Workload_Uniform;1x512_1x1024_1x2304_1x4096;112839;19.093098208909765;21560.666223599794;121903.01694825315
Random;Workload_Low-energy skew;1x512_1x1024_1x2304_1x4096;113674;21.63537781878213;88302.2137397922;224500.1387077191
Random;Workload_Large;4x1024_1x2304;127202;77.14071542234663;149200.96037083518;565481.9604785485
Random;Workload_Medium;4x1024_1x2304;118920;44.85416759226358;163044.96715254383;459726.4669827107
Random;Workload_Mid-energy skew;4x1024_1x2304;124934;16.021069353101392;21200.90058210153;189186.23712028255
Random;Workload_High-energy skew;4x1024_1x2304;124898;29.713307980707533;356987.61348273803;125554.00948064984
Random;Workload_Small;4x1024_1x2304;116147;29.713307980707533;10487.601003397602;400866.083576507
Random;Workload_Uniform;4x1024_1x2304;117263;18.98564471162185;104516.37177675536;102404.09261932687
Random;Workload_Low-energy skew;4x1024_1x2304;111341;12.326794169305858;68745.82295520946;149164.55646766262
