Scheduler;Workload;NPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);Etot_idle(mJ)
Random;Workload_Large;4x2304;225134;42.78829706732944;19600.36698195738;149327.89970752125
Random;Workload_Medium;4x2304;148148;36.549021799518506;83927.49783377432;341921.18450764846
Random;Workload_Mid-energy skew;4x2304;176858;8.22725004593976;26066.872370833487;62182.814880157486
Random;Workload_High-energy skew;4x2304;146088;21.2884542235578;217520.21458717098;75333.37347886772
Random;Workload_Small;4x2304;153866;10.151140811606504;110692.56337387615;77779.87256345907
Random;Workload_Uniform;4x2304;152258;26.629382326412856;20604.939385080674;254912.2641552557
Random;Workload_Low-energy skew;4x2304;149791;7.419469978270292;48653.63651879587;66205.10740678995
Random;Workload_Large;1x512_1x1024_1x2304_1x4096;153045;82.63086978180212;63367.79516601576;519599.5729440212
Random;Workload_Medium;1x512_1x1024_1x2304_1x4096;172201;35.64546871185303;207271.79624069697;224887.385081935
Random;Workload_Mid-energy skew;1x512_1x1024_1x2304_1x4096;156348;17.50857571203937;24484.63225700726;167144.63245601655
Random;Workload_High-energy skew;1x512_1x1024_1x2304_1x4096;172824;69.22688349052649;198272.0588644079;639344.84375454
Random;Workload_Small;1x512_1x1024_1x2304_1x4096;139706;22.952761439022524;78203.03819190383;209104.2230967157
Random;Workload_Uniform;1x512_1x1024_1x2304_1x4096;135178;26.629382326412856;22612.469626193648;227232.5722376884
Random;Workload_Low-energy skew;1x512_1x1024_1x2304_1x4096;130017;5.881781023739815;9585.793001804926;48415.53940356311
Random;Workload_Large;4x1024_1x2304;158949;52.321273407205474;150238.1308193309;180676.20282923925
Random;Workload_Medium;4x1024_1x2304;131580;45.85022817943153;96773.15310386613;485425.0157840902
Random;Workload_Mid-energy skew;4x1024_1x2304;147721;13.20159813517772;39262.16271676814;138815.06382616737
Random;Workload_High-energy skew;4x1024_1x2304;137345;39.1850465767127;307419.1734168251;266376.4403368363
Random;Workload_Small;4x1024_1x2304;120083;21.70505213737488;159207.98863437193;256929.8676609054
Random;Workload_Uniform;4x1024_1x2304;124631;24.27046716354763;106415.24946000808;193017.3074336836
Random;Workload_Low-energy skew;4x1024_1x2304;147993;7.006313990744372;46552.55508298255;75979.58771009081
Random;Workload_Large;2x512_1x1024_1x2304_1x4096;155036;124.43567258728095;125873.98035775624;1341326.8033134849
Random;Workload_Medium;2x512_1x1024_1x2304_1x4096;144674;57.417545022420214;24256.911031200998;635687.1468239421
Random;Workload_Mid-energy skew;2x512_1x1024_1x2304_1x4096;132163;22.939579145669022;30285.328143922965;286377.5504742732
Random;Workload_High-energy skew;2x512_1x1024_1x2304_1x4096;120471;35.64546871185303;406778.3766746935;236511.1173519077
Random;Workload_Small;2x512_1x1024_1x2304_1x4096;127284;13.20159813517772;67138.29538142473;149939.294252631
Random;Workload_Uniform;2x512_1x1024_1x2304_1x4096;134624;28.91697287663473;142005.15168199688;255553.4162103493
Random;Workload_Low-energy skew;2x512_1x1024_1x2304_1x4096;132949;8.020814559119247;16782.02694929785;97122.29904136459
Random;Workload_Large;3x1024_2x4096;136839;60.382934575392845;130708.55372829777;518696.1110837057
Random;Workload_Medium;3x1024_2x4096;151604;31.50053864967419;156704.25118261745;327598.6160941847
Random;Workload_Mid-energy skew;3x1024_2x4096;145760;13.20159813517772;28445.93321284961;155634.59376722726
Random;Workload_High-energy skew;3x1024_2x4096;137923;35.38873747879417;197185.52020476168;369639.4802959105
Random;Workload_Small;3x1024_2x4096;121890;17.834849853653626;86511.2895049511;219696.5138419604
Random;Workload_Uniform;3x1024_2x4096;136348;29.829602321170896;22711.298879608225;357256.0092633895
Random;Workload_Low-energy skew;3x1024_2x4096;129822;12.326794169305858;69250.72922087231;163035.70313181597
Random;Workload_Large;2x2304_2x4096;160039;60.44380361299751;21987.56282238351;487249.6605774473
Random;Workload_Medium;2x2304_2x4096;129657;22.258368535167634;17510.386756436903;187342.55245446996
Random;Workload_Mid-energy skew;2x2304_2x4096;129543;8.22725004593976;24307.721265768065;71185.5953829076
Random;Workload_High-energy skew;2x2304_2x4096;133917;19.89362117070036;188694.01419600737;100303.16198022029
Random;Workload_Small;2x2304_2x4096;134768;8.15833044052124;66903.63706566085;68253.65863176165
Random;Workload_Uniform;2x2304_2x4096;149487;8.847670683512472;70107.61788822175;11794.99895856006
Random;Workload_Low-energy skew;2x2304_2x4096;129877;8.020814559119247;13785.03923373397;81823.04477177579
Random;Workload_Large;1x512_3x4096;152323;53.35704249488095;54536.45750024316;339227.6652985782
Random;Workload_Medium;1x512_3x4096;143949;56.66415084065619;168544.85911930926;601150.0967640263
Random;Workload_Mid-energy skew;1x512_3x4096;130447;6.231600283189544;24820.909787730976;42254.15422555912
Random;Workload_High-energy skew;1x512_3x4096;137537;49.08808470815723;244833.36672534706;463401.9031878003
Random;Workload_Small;1x512_3x4096;126097;8.15833044052124;110236.3119943754;59457.70842354061
Random;Workload_Uniform;1x512_3x4096;132610;31.98986696541762;53026.87483871319;316022.21077089955
Random;Workload_Low-energy skew;1x512_3x4096;127177;4.712141844931757;41855.69684852373;35623.94069255432
Random;Workload_Large;4x1024;162961;89.46130100071044;23976.542092212847;417209.2968472096
Random;Workload_Medium;4x1024;150487;29.829602321170896;121627.52571827428;81051.28730713375
Random;Workload_Mid-energy skew;4x1024;139684;14.915022908005824;22783.704231408556;114482.10480132219
Random;Workload_High-energy skew;4x1024;137342;55.20567243497334;214643.30472599264;348106.7894952575
Random;Workload_Small;4x1024;139748;17.834849853653626;156955.13620639933;122034.73608929553
Random;Workload_Uniform;4x1024;136142;36.494783923889734;25588.311886984153;268991.65075827576
Random;Workload_Low-energy skew;4x1024;168530;12.702930017814685;62574.33751615529;110827.69458492225
Random;Workload_Large;4x512;146031;169.40913828290167;32813.92484419074;915348.2603528647
Random;Workload_Medium;4x512;182839;74.97184753976082;127906.23926338078;474052.23570091906
Random;Workload_Mid-energy skew;4x512;166116;26.535916869980106;36739.446574501766;215517.81014451734
Random;Workload_High-energy skew;4x512;154870;75.53861860845008;339598.665287402;333852.4411531993
Random;Workload_Small;4x512;135745;35.64546871185303;153192.8346559709;263396.5095596596
Random;Workload_Uniform;4x512;134211;48.303612679271474;134041.27932857184;273993.60358772904
Random;Workload_Low-energy skew;4x512;155471;23.17188618458252;15379.442666163899;208468.5192893088
Random;Workload_Large;3x4096;150883;34.726442074796275;52321.01879654153;58688.702903726604
Random;Workload_Medium;3x4096;145827;20.519442258338067;53701.639921783906;108906.41090264884
Random;Workload_Mid-energy skew;3x4096;152810;6.581419542639273;15829.04995214364;33960.81542718675
Random;Workload_High-energy skew;3x4096;146860;23.65978238146549;92596.96943831789;113675.36935032305
Random;Workload_Small;3x4096;137944;11.279639921136878;8402.887559941468;89270.29477788066
Random;Workload_Uniform;3x4096;123880;10.924513293022137;54346.56637947358;27243.995761285027
