Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1637345438.976900780;1791.694946;1730.546021;215.444000;3737.685059
1;1637345438.996963565;1632.781006;1726.177002;212.210999;3571.168945
2;1637345439.017023779;1641.173950;1720.472046;212.210999;3573.856934
3;1637345439.037083724;1614.029053;1722.836060;213.139999;3550.005127
4;1637345439.057143548;1615.652954;1723.682007;213.087006;3552.421875
5;1637345439.077203102;1626.875000;1725.557007;212.210999;3564.643066
6;1637345439.097263037;1600.947998;1720.441040;213.438004;3534.827148
7;1637345439.117323451;1608.500977;1720.391968;212.205994;3541.098877
8;1637345439.137382795;1632.854980;1718.597046;212.126999;3563.579102
9;1637345439.157442730;1646.534058;1724.102051;212.175003;3582.811035
10;1637345439.177502614;1592.046021;1722.197021;212.242004;3526.484863
11;1637345439.197562828;1623.849976;1723.682007;212.242004;3559.773926
12;1637345439.217623003;1634.678955;1723.859985;212.126999;3570.666016
13;1637345439.237683227;1595.337036;1719.442017;212.175003;3526.954102
14;1637345439.257743191;1606.860962;1718.319946;212.149002;3537.330078
15;1637345439.277803456;1620.436035;1719.229980;213.087006;3552.752930
16;1637345439.297863750;1591.265015;1720.410034;212.227997;3523.903076
17;1637345439.317923654;1602.234985;1722.072998;215.505997;3539.813965
18;1637345439.337983789;1608.302979;1716.058960;213.108994;3537.470947
19;1637345439.358043483;1641.349976;1719.411011;212.149002;3572.910156
20;1637345439.378086476;1597.969971;1717.652954;212.149002;3527.771973
21;1637345439.398146200;1604.959961;1724.339966;215.505997;3544.805908
22;1637345439.418205644;1618.061035;1718.808960;212.259003;3549.128906
23;1637345439.438266029;1596.207031;1723.491943;214.248001;3533.947021
24;1637345439.458325133;1603.666016;1719.563965;215.475998;3538.706055
25;1637345439.478384457;1609.662964;1716.239990;212.227997;3538.130859
26;1637345439.498444672;1618.374023;1716.206055;212.156006;3546.736084
27;1637345439.518504796;1585.732056;1719.331055;212.186996;3517.250000
28;1637345439.538563970;1608.897949;1717.714966;212.188995;3538.801758
29;1637345439.558623845;1619.225952;1714.577026;211.000000;3544.802979
30;1637345439.578682929;1593.836060;1719.313965;215.505997;3528.656006
31;1637345439.598742463;1611.558960;1716.056030;212.149002;3539.764160
32;1637345439.618802487;1623.688965;1717.931030;212.149002;3553.769043
33;1637345439.638862532;1638.442017;1717.838013;215.483994;3571.764160
34;1637345439.658921696;1595.308960;1715.359009;213.156998;3523.824951
35;1637345439.678981170;1601.352051;1715.359009;212.160995;3528.872070
36;1637345439.699041055;1633.025024;1718.685059;216.341995;3568.052246
37;1637345439.719100689;1594.199951;1716.802002;215.475998;3526.478027
38;1637345439.739161033;1611.563965;1719.470947;215.522995;3546.557861
39;1637345439.759221178;1628.038940;1714.480957;212.149002;3554.668945
40;1637345439.779280902;1639.482056;1715.838013;212.149002;3567.469238
41;1637345439.799340776;1588.849976;1720.991943;214.304001;3524.145996
42;1637345439.819400261;1625.477051;1714.511963;212.220001;3552.208984
43;1637345439.839459595;1632.078979;1716.848999;212.149002;3561.077148
44;1637345439.859518879;1592.579956;1722.265991;215.438995;3530.284912
45;1637345439.879579504;1608.819946;1714.480957;211.014999;3534.315918
46;1637345439.899639008;1628.416992;1713.634033;212.210999;3554.261963
47;1637345439.919698652;1627.109009;1714.573975;212.242004;3553.924805
48;1637345439.939757796;1605.941040;1718.564941;213.322998;3537.829102
49;1637345439.959817781;1622.895020;1715.938965;212.166000;3551.000000
50;1637345439.979881715;1633.583984;1718.666992;215.505997;3567.756836
51;1637345439.999951751;1797.812988;1716.050049;212.259003;3726.122070
52;1637345440.020018156;1818.026001;1711.858032;208.897003;3738.781006
53;1637345440.040078690;1825.421021;1714.307007;212.210999;3751.938965
54;1637345440.060145395;1847.510010;1714.542969;212.192001;3774.245117
