Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1637345525.775397623;1625.307007;2061.172119;212.296997;3898.776367
1;1637345525.795462618;1605.076050;2063.543945;211.343994;3879.963867
2;1637345525.815522123;1625.359009;2062.038086;212.242004;3899.639160
3;1637345525.835581907;1616.718018;2063.543945;212.242004;3892.503906
4;1637345525.855641791;1590.925049;2062.697021;211.046005;3864.667969
5;1637345525.875702046;1604.538940;2062.854980;212.149002;3879.542969
6;1637345525.895762410;1614.838989;2068.073975;211.046005;3893.958984
7;1637345525.915821844;1633.438965;2063.447021;211.315994;3908.201904
8;1637345525.935881268;1596.276978;2066.096924;212.242004;3874.615723
9;1637345525.955940763;1616.588989;2063.512939;212.149002;3892.250977
10;1637345525.976000597;1625.229004;2060.918945;212.179993;3898.327881
11;1637345525.996060521;1594.199951;2066.331055;215.487000;3876.018066
12;1637345526.016120046;1591.646973;2064.615967;212.242004;3868.504883
13;1637345526.036179360;1612.921021;2061.285889;208.945999;3883.152832
14;1637345526.056239384;1624.843994;2066.247070;212.130005;3903.220947
15;1637345526.076299709;1607.812988;2071.829102;215.537994;3895.180176
16;1637345526.096359473;1608.624023;2064.383057;212.242004;3885.249023
17;1637345526.116419427;1625.206055;2067.226074;212.179993;3904.612061
18;1637345526.136479542;1590.452026;2062.038086;211.046005;3863.536133
19;1637345526.156538906;1591.298950;2065.429932;211.061996;3867.791016
20;1637345526.176598860;1621.160034;2066.360107;212.160995;3899.681152
21;1637345526.196658585;1643.525024;2064.461914;212.210999;3920.197754
22;1637345526.216718609;1610.593018;2064.582031;212.242004;3887.416992
23;1637345526.236778013;1623.220947;2062.007080;212.130005;3897.358154
24;1637345526.256837708;1630.366943;2064.551025;212.227997;3907.145996
25;1637345526.276897772;1582.521973;2060.978027;212.227997;3855.728027
26;1637345526.296956746;1613.734009;2064.181885;212.210999;3890.126953
27;1637345526.317016660;1622.458008;2062.885986;212.279999;3897.624023
28;1637345526.337075775;1583.240967;2064.563965;211.024002;3858.828857
29;1637345526.357135799;1620.338989;2065.302002;215.522995;3901.164062
30;1637345526.377195543;1623.650024;2065.429932;212.160995;3901.240723
31;1637345526.397255028;1617.458984;2067.195068;212.210999;3896.864990
32;1637345526.417315112;1600.536987;2061.856934;212.218002;3874.611816
33;1637345526.437374976;1617.732056;2062.038086;212.179993;3891.950195
34;1637345526.457434731;1618.964966;2059.590088;208.945999;3887.500977
35;1637345526.477494695;1593.807007;2062.007080;212.205994;3868.020020
36;1637345526.497554689;1628.427979;2060.125000;213.959000;3902.511963
37;1637345526.517614814;1621.280029;2062.854980;212.149002;3896.283936
38;1637345526.537674318;1636.130981;2066.247070;211.031006;3913.409180
39;1637345526.557733962;1598.500977;2060.822021;212.242004;3871.564941
40;1637345526.577794487;1601.798950;2065.242920;211.360001;3878.401855
41;1637345526.597854311;1631.375977;2060.066895;208.945999;3900.388916
42;1637345526.617914235;1601.067017;2061.834961;212.242004;3875.144043
43;1637345526.637974190;1594.776001;2060.971924;212.210999;3867.958984
44;1637345526.658034054;1618.808960;2062.885986;212.179993;3893.875000
45;1637345526.678064325;1639.136963;2065.429932;211.046005;3915.612793
46;1637345526.698124630;1599.447998;2065.768066;215.505997;3880.722168
47;1637345526.718184444;1612.602051;2064.183105;214.608002;3891.393066
48;1637345526.738244158;1618.555054;2065.398926;212.210999;3896.165039
49;1637345526.758303923;1601.980957;2062.038086;212.139008;3876.157959
50;1637345526.778370668;1615.349976;2070.002930;212.205994;3897.559082
51;1637345526.798438413;1818.833008;2065.398926;212.210999;4096.442871
52;1637345526.818502608;1843.562988;2065.333008;211.360001;4120.255859
53;1637345526.838567052;1809.016968;2065.429932;212.197006;4086.644043
54;1637345526.858633657;1828.357056;2065.781982;211.281998;4105.420898
55;1637345526.878701252;1816.676025;2062.854980;211.031006;4090.562012
56;1637345526.898767417;1789.911011;2061.989014;210.953003;4062.853027
57;1637345526.918835363;1793.026001;2056.012939;207.750000;4056.789062
58;1637345526.938901327;1798.027954;2058.741943;208.962997;4065.732910
59;1637345526.958984084;1912.917969;2064.352051;212.210999;4189.480957
60;1637345526.979060930;1899.319946;2064.549072;213.343994;4177.212891
61;1637345526.999143597;1914.042969;2064.391113;212.242004;4190.675781
62;1637345527.019207411;1806.941040;2062.678955;210.962006;4080.582031
63;1637345527.039269726;1765.857056;2063.768066;213.438004;4043.062988
64;1637345527.059331721;1785.390015;2069.031982;214.341995;4068.764160
65;1637345527.079393535;1800.136963;2066.278076;212.242004;4078.656982
66;1637345527.099454279;1763.474976;2066.840088;215.475998;4045.791016
67;1637345527.119515494;1774.312988;2069.394043;214.309998;4058.017090
68;1637345527.139611842;1928.833984;2064.584961;211.026001;4204.444824
69;1637345527.159706370;1948.510010;2067.789062;215.475998;4231.775391
70;1637345527.179803318;1910.696045;2064.551025;212.149002;4187.395996
71;1637345527.199896815;1846.185059;2065.381104;211.330002;4122.896484
72;1637345527.219961360;1805.588013;2065.249023;211.046005;4081.882812
73;1637345527.240051948;1835.645996;2062.867920;212.259003;4110.772949
74;1637345527.260148076;1922.660034;2066.260010;212.158005;4201.078125
75;1637345527.280251944;1926.120972;2064.383057;212.242004;4202.746094
76;1637345527.300354433;1948.262939;2065.429932;212.237000;4225.929688
77;1637345527.320442830;2160.610107;2062.697021;211.061996;4434.369141
78;1637345527.340518366;1775.048950;2066.156006;210.931000;4052.135742
79;1637345527.360581721;1789.879028;2064.615967;210.195007;4064.689941
80;1637345527.380671208;1790.546997;2067.226074;212.242004;4070.015137
81;1637345527.400768336;1926.687012;2067.226074;212.220001;4206.132812
82;1637345527.420866374;1939.703979;2064.360107;211.014999;4215.079102
83;1637345527.440965972;1952.707031;2066.529053;211.014999;4230.250977
84;1637345527.461035188;1990.614014;2065.429932;211.391006;4267.435059
85;1637345527.481120384;2003.979004;2068.891113;211.365997;4284.236328
86;1637345527.501193400;1802.630981;2066.621094;212.227997;4081.479980
87;1637345527.521256885;1797.550049;4524.638184;212.259003;6534.447266
88;1637345527.541317929;1895.135010;4329.472168;217.253998;6441.861328
89;1637345527.561379174;1927.415039;4308.399902;211.429001;6447.244141
90;1637345527.581439968;1902.534058;4524.640137;212.242004;6639.416504
91;1637345527.601501093;1889.008057;4059.939941;214.358002;6163.305664
92;1637345527.621561287;1915.730957;3908.991943;210.164001;6034.886719
93;1637345527.641622301;1882.558960;4549.228027;212.242004;6644.029297
94;1637345527.661683616;1868.501953;4361.821777;211.391006;6441.714844
95;1637345527.681744630;1920.156982;4355.735840;211.093002;6486.985352
96;1637345527.701805595;1908.385010;4442.381836;211.307999;6562.075195
97;1637345527.721866109;1840.229980;4216.301758;212.279999;6268.811523
98;1637345527.741927464;1935.491943;4160.181152;212.220001;6307.893555
99;1637345527.761987528;1907.543945;3902.583984;212.218002;6022.345703
100;1637345527.782048712;1913.073975;4054.845947;211.000000;6178.919922
101;1637345527.802088915;1949.277954;4225.205078;213.438004;6387.920898
102;1637345527.822149369;1937.635010;4212.360840;212.210999;6362.207031
103;1637345527.842209403;1907.026001;4564.770996;210.992996;6682.790039
104;1637345527.862272688;1941.043945;4364.202148;212.179993;6517.426270
105;1637345527.882333743;1939.864014;4253.047852;212.179993;6405.091797
106;1637345527.902394817;1887.017944;4045.521973;214.358002;6146.897949
107;1637345527.922455611;1898.983032;4051.461914;212.210999;6162.655762
108;1637345527.942516236;1922.077026;4087.070068;211.460007;6220.607422
109;1637345527.962577350;1872.447998;4024.269043;214.358002;6111.075195
110;1637345527.982637755;1888.797974;4324.662109;212.248993;6425.708984
111;1637345528.002699099;1899.637939;4346.558105;212.242004;6458.438477
112;1637345528.022759254;1876.453979;4286.536133;215.537994;6378.528320
113;1637345528.042821868;1863.639038;4020.003906;213.438004;6097.081055
