Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1637345595.880152194;1688.484009;2495.491943;213.087006;4397.062988
1;1637345595.900224630;1590.735962;2501.308105;212.242004;4304.286133
2;1637345595.920285474;1597.499023;2500.602051;212.158005;4310.258789
3;1637345595.940345919;1621.562988;2504.572021;214.123993;4340.258789
4;1637345595.960405733;1638.004028;2498.761963;212.179993;4348.945801
5;1637345595.980465417;1591.701050;2501.277100;212.210999;4305.188965
6;1637345596.000525232;1622.217041;2497.916016;212.856003;4332.989258
7;1637345596.020585966;1641.461060;2495.352051;213.139999;4349.953125
8;1637345596.040646701;1592.613037;2500.345947;215.475998;4308.435059
9;1637345596.060706285;1604.522949;2503.738037;215.516006;4323.777344
10;1637345596.080765899;1630.615967;2500.459961;212.242004;4343.317871
11;1637345596.100826244;1637.422974;2495.433105;212.259003;4345.115234
12;1637345596.120886178;1588.535034;2499.612061;212.179993;4300.327148
13;1637345596.140946752;1622.761963;2496.188965;213.042007;4331.993164
14;1637345596.161006157;1638.209961;2497.068115;211.046005;4346.324219
15;1637345596.181066281;1590.197998;2494.603027;212.179993;4296.980957
16;1637345596.201126695;1617.447998;2498.674072;210.983994;4327.105957
17;1637345596.221186760;1621.604980;2500.458008;212.242004;4334.304688
18;1637345596.241246784;1630.626953;2500.259033;212.242004;4343.127930
19;1637345596.261307258;1603.796997;2494.336914;208.848999;4306.982910
20;1637345596.281366793;1623.376953;2497.897949;212.195999;4333.470703
21;1637345596.301426627;1633.916016;2500.459961;211.061996;4345.437988
22;1637345596.321487001;1596.883057;2499.581055;213.087006;4309.550781
23;1637345596.341546876;1617.170044;2494.676025;212.179993;4324.025879
24;1637345596.361607120;1624.956055;2499.663086;215.535995;4340.155273
25;1637345596.381667474;1638.423950;2497.065918;212.220001;4347.709961
26;1637345596.401727049;1611.176025;2501.308105;212.242004;4324.726074
27;1637345596.421787023;1620.068970;2500.458008;212.242004;4332.769043
28;1637345596.441847197;1632.636963;2496.115967;212.242004;4340.995117
29;1637345596.461907022;1596.281006;2497.221924;212.149002;4305.651855
30;1637345596.481967106;1615.557007;2500.459961;212.179993;4328.196777
31;1637345596.502026980;1631.868042;2499.263916;211.944000;4343.076172
32;1637345596.522068163;1645.250977;2493.920898;208.884003;4348.055664
33;1637345596.542128657;1603.822998;2498.879883;211.014999;4313.717773
34;1637345596.562187961;1623.213013;2500.440918;215.537994;4339.191895
35;1637345596.582247726;1631.931030;2496.965088;212.227997;4341.124023
36;1637345596.602307990;1596.061035;2497.885010;212.205994;4306.152344
