Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1637345648.547249023;1791.917969;2562.169922;217.272003;4571.359863
1;1637345648.567312228;1611.453979;2552.142090;214.820999;4378.416992
2;1637345648.587373062;1636.378052;2553.656006;214.007004;4404.041016
3;1637345648.607433937;1634.885010;2554.634033;214.054993;4403.574219
4;1637345648.627493631;1615.134033;2558.675049;213.985001;4387.793945
5;1637345648.647552785;1612.068970;2549.512939;213.962006;4375.543945
6;1637345648.667613010;1630.620972;2553.574951;214.007004;4398.203125
7;1637345648.687673204;1636.639038;2553.711914;214.037994;4404.389160
8;1637345648.707732618;1604.357056;2554.329102;214.003998;4372.689941
9;1637345648.727792533;1630.836060;2547.906982;212.764999;4391.507812
10;1637345648.747852477;1642.077026;2552.810059;217.302002;4412.188965
11;1637345648.767913282;1609.666016;2549.514893;214.001999;4373.182617
12;1637345648.787973226;1610.124023;2547.850098;213.139999;4371.114258
13;1637345648.808032900;1635.032959;2547.999023;213.962006;4396.994141
14;1637345648.828093185;1661.795044;2547.091064;213.992996;4422.878906
15;1637345648.848153199;1605.292969;2540.955078;214.024002;4360.271973
16;1637345648.868213103;1637.211060;2544.476074;214.037994;4395.725098
17;1637345648.888273388;1648.228027;2543.699951;214.037994;4405.965820
18;1637345648.908332582;1608.581055;2545.305908;214.335999;4368.222656
19;1637345648.928392776;1623.140015;2547.001953;214.037994;4384.180176
20;1637345648.948453041;1641.675049;2548.475098;214.007004;4404.157227
21;1637345648.968512745;1595.168945;2546.025879;217.302002;4358.497070
22;1637345648.988572099;1620.177002;2543.610107;214.037994;4377.825195
23;1637345649.008632133;1628.005981;2541.912109;214.037994;4383.956055
24;1637345649.028691978;1641.302979;2542.760010;213.117996;4397.180664
25;1637345649.048752452;1606.961060;2543.579102;214.007004;4364.547363
26;1637345649.068812126;1619.223999;2550.191895;217.240005;4386.655762
27;1637345649.088872491;1642.465942;2542.741943;213.953995;4399.162109
28;1637345649.108932975;1592.723999;2542.824951;213.945007;4349.494141
29;1637345649.128992730;1616.142944;2539.339111;213.945007;4369.427246
30;1637345649.149052664;1636.707031;2543.112061;214.037994;4393.857422
31;1637345649.169112668;1637.961060;2539.436035;209.751999;4387.148926
32;1637345649.189173443;1607.171997;2541.883057;214.007004;4363.062012
33;1637345649.209233437;1622.447998;2541.950928;214.037994;4378.437012
34;1637345649.229294211;1646.962036;2541.034912;213.945007;4401.941895
35;1637345649.249354296;1611.213989;2538.334961;214.024002;4363.572754
36;1637345649.269415060;1615.957031;2538.520020;212.779999;4367.256836
37;1637345649.289474604;1631.139038;2541.883057;214.007004;4387.029297
38;1637345649.309535009;1643.093018;2541.914062;213.975998;4398.983398
39;1637345649.329594493;1608.500977;2538.520020;213.117996;4360.138672
40;1637345649.349654707;1626.577026;2537.739990;213.108994;4377.425781
41;1637345649.369714852;1648.944946;2541.034912;213.046997;4403.026855
42;1637345649.389775236;1604.098022;2538.520020;213.117996;4355.735840
43;1637345649.409835771;1621.213989;2538.874023;214.080002;4374.167969
44;1637345649.429895315;1631.948975;2541.818115;217.350998;4391.118164
45;1637345649.449955939;1652.142944;2540.936035;216.044006;4409.123047
46;1637345649.470016204;1599.625977;2535.127930;212.727005;4347.480957
47;1637345649.490069947;1631.370972;2537.672119;213.139999;4382.183105
48;1637345649.510129702;1645.562012;2534.175049;215.203003;4394.939941
49;1637345649.530189196;1605.936035;2540.120117;216.436005;4362.492188
50;1637345649.550253711;1647.805054;2536.825928;213.056000;4397.687012
51;1637345649.570320016;1834.536011;2537.643066;213.046997;4585.226074
52;1637345649.590386671;1858.551025;2535.229980;211.944000;4605.725098
53;1637345649.610450575;1816.027954;2538.521973;214.033005;4568.583008
54;1637345649.630517200;1837.365967;2535.205078;209.813995;4582.384766
55;1637345649.650585236;1831.240967;2535.099121;214.007004;4580.347168
56;1637345649.670649580;1804.337036;2534.250977;214.024002;4552.611816
57;1637345649.690718346;1804.182007;2534.230957;214.242996;4552.655762
58;1637345649.710788881;1830.983032;2532.691895;211.944000;4575.619141
59;1637345649.730872108;1893.453003;2536.792969;213.046997;4643.292969
60;1637345649.750941533;1831.178955;2536.825928;213.955002;4581.959961
61;1637345649.771001657;1802.551025;2533.456055;210.742004;4546.749023
62;1637345649.791086534;1927.208984;2536.794922;213.046997;4677.050781
63;1637345649.811173471;1928.572998;2535.976074;213.057999;4677.607422
64;1637345649.831242776;1799.217041;2534.100098;214.037994;4547.355469
65;1637345649.851340024;1944.119995;2540.900879;213.139999;4698.160645
66;1637345649.871432822;1909.519043;2535.198975;213.089005;4657.807129
67;1637345649.891523900;2133.756104;2536.794922;213.945007;4884.496094
68;1637345649.911621108;1802.121948;2537.643066;214.007004;4553.771973
69;1637345649.931720086;1972.999023;2534.250977;213.046997;4720.296875
70;1637345649.951816094;1936.959961;2534.280029;213.139999;4684.379883
71;1637345649.971898900;1991.880981;2533.431885;214.016006;4739.329102
72;1637345649.991966816;1807.965942;4634.405762;213.156998;6655.528809
73;1637345650.012028950;2441.927979;3803.074951;213.149002;6458.151855
74;1637345650.032089724;2432.132080;3541.480957;213.117996;6186.730957
75;1637345650.052150199;2215.355957;4742.458984;213.104004;7170.918945
76;1637345650.072210333;2111.679932;3919.900879;213.945007;6245.525391
77;1637345650.092271448;2250.452881;3264.487061;213.945007;5728.884766
78;1637345650.112332062;2465.037109;4068.322021;213.117996;6746.477051
79;1637345650.132392927;2447.282959;4055.652100;213.139999;6716.075195
80;1637345650.152454481;2088.575928;3255.946045;213.156998;5557.678711
