Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1637345575.810790510;1789.568970;2493.657959;212.220001;4495.446777
1;1637345575.830863526;1601.886963;2494.341064;212.179993;4308.408203
2;1637345575.850924330;1602.854004;2500.121094;211.014999;4313.990234
3;1637345575.870984004;1613.598999;2492.929932;212.149002;4318.677734
4;1637345575.891044219;1602.663940;2493.798096;212.210999;4308.672852
5;1637345575.911104433;1599.037964;2495.377930;215.483994;4309.899902
6;1637345575.931163987;1630.939941;2493.676025;212.179993;4336.795898
7;1637345575.951224342;1638.454956;2496.298096;208.884003;4343.637207
8;1637345575.971284986;1598.130005;2496.116943;212.210999;4306.458008
9;1637345575.991344680;1603.600952;2501.211914;215.537994;4320.351074
10;1637345576.011405375;1628.275024;2496.996094;212.242004;4337.513184
11;1637345576.031465869;1599.188965;2498.666016;215.218002;4313.073242
12;1637345576.051526244;1610.380005;2498.761963;212.242004;4321.383789
13;1637345576.071586038;1617.024048;2493.645020;212.210999;4322.879883
14;1637345576.091646172;1638.454956;2496.170898;212.166000;4346.791992
15;1637345576.111705797;1593.984985;2497.068115;212.223007;4303.275879
16;1637345576.131766381;1617.396973;2495.269043;212.210999;4324.876953
17;1637345576.151826615;1640.468018;2492.031006;212.227997;4344.727051
18;1637345576.171886680;1601.756958;2496.996094;211.046005;4309.798828
19;1637345576.191947004;1608.765015;2496.978027;212.259003;4318.001953
20;1637345576.212006938;1617.456055;2497.748047;215.537994;4330.742188
21;1637345576.232067003;1630.796997;2493.825928;212.242004;4336.864746
22;1637345576.252126657;1603.286011;2493.725098;213.108994;4310.120117
23;1637345576.272186461;1629.876953;2497.037109;212.166000;4339.080078
24;1637345576.292246416;1636.046021;2497.113037;212.248993;4345.408203
25;1637345576.312306350;1593.561035;2496.218018;212.242004;4302.020996
26;1637345576.332366514;1609.161011;2496.199951;212.220001;4317.581055
27;1637345576.352426239;1615.645996;2499.509033;211.376999;4326.532227
28;1637345576.372485513;1641.151001;2493.825928;212.197006;4347.173828
29;1637345576.392545707;1601.102051;2496.188965;212.210999;4309.501953
30;1637345576.412605092;1626.201050;2496.965088;212.210999;4335.376953
