Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1753459102.001314146;1788.201050;1524.302002;209.572998;3522.076172
1;1753459102.025377090;1569.864014;1527.958984;208.666000;3306.489014
2;1753459102.049436964;1568.550049;1527.473999;209.612000;3305.635986
3;1753459102.073497068;1572.811035;1524.567017;207.408997;3304.787109
4;1753459102.097556962;1595.045044;1527.093018;208.666000;3330.804199
5;1753459102.121631738;1561.873047;1528.937988;208.697998;3299.509033
6;1753459102.145693672;1567.795044;1524.968018;208.393005;3301.156250
7;1753459102.169755076;1586.265015;1524.968018;207.417999;3318.650879
8;1753459102.193816590;1596.307007;1526.556030;213.710007;3336.572998
9;1753459102.217878375;1560.902954;1525.012939;208.304993;3294.220703
10;1753459102.241939579;1582.543945;1524.735962;206.276993;3313.556885
11;1753459102.266001063;1564.286987;1529.582031;213.626007;3307.495117
12;1753459102.290062217;1588.942017;1525.496948;209.218994;3323.657959
13;1753459102.314123351;1585.213013;1529.984009;211.647003;3326.843994
14;1753459102.338184595;1577.255981;1524.985962;209.612000;3311.854004
15;1753459102.362245769;1576.739990;1531.112061;211.977997;3319.830078
16;1753459102.386306703;1594.175049;1525.802002;209.563995;3329.541016
17;1753459102.410368468;1570.291016;1527.052979;209.503006;3306.847168
18;1753459102.434429852;1576.161987;1522.444946;209.533997;3308.141113
19;1753459102.458490786;1578.000977;1526.363037;209.563995;3313.927979
20;1753459102.482552990;1586.853027;1525.583984;206.298996;3318.735840
21;1753459102.506614454;1562.594971;1532.235962;212.781998;3307.612793
22;1753459102.530675578;1559.484985;1524.954956;209.503006;3293.942871
23;1753459102.554736732;1579.842041;1525.964966;208.643997;3314.451172
24;1753459102.578798027;1573.506958;1525.128052;210.423996;3309.059082
25;1753459102.602859301;1578.947021;1525.391968;211.970993;3316.310059
26;1753459102.626921165;1575.425049;1529.168945;212.891006;3317.484863
27;1753459102.650982709;1581.556030;1524.994995;209.503006;3316.054199
28;1753459102.675044253;1576.439941;1524.994995;209.542007;3310.977051
29;1753459102.699105927;1579.732056;1527.699951;209.563995;3316.996094
30;1753459102.723167862;1562.114014;1529.589966;212.546005;3304.250000
31;1753459102.747227266;1564.787964;1526.305054;207.470001;3298.562988
32;1753459102.771288640;1592.699951;1530.019043;212.891006;3335.609863
33;1753459102.795348584;1584.188965;1524.954956;208.604996;3317.749023
34;1753459102.819408668;1563.792969;1528.384033;212.886002;3305.062988
35;1753459102.843468862;1601.744019;1531.202026;212.869003;3345.814941
36;1753459102.867530256;1587.266968;1527.958984;210.369995;3325.595947
37;1753459102.891590380;1564.066040;1526.781982;208.399002;3299.247070
38;1753459102.915650654;1579.067017;1530.027954;212.858994;3321.954102
39;1753459102.939710428;1587.198975;1524.209961;208.643997;3320.052979
40;1753459102.963769862;1595.406982;1527.141968;207.479004;3330.027832
41;1753459102.987830516;1564.277954;1525.012939;208.604996;3297.895996
42;1753459103.011903181;1764.025024;1526.937988;210.764999;3501.728027
43;1753459103.035969356;1795.011963;1524.954956;210.393005;3530.359863
44;1753459103.060033560;1787.560059;1525.043945;208.399002;3521.002930
45;1753459103.084101365;1768.983032;1528.920044;209.572998;3507.476074
46;1753459103.108169440;1767.795044;1523.661011;209.520004;3500.976074
47;1753459103.132239745;1797.635010;1525.784058;209.520004;3532.938965
48;1753459103.156306010;1767.087036;1526.839966;209.511993;3503.438965
49;1753459103.180375995;1819.071045;1525.802002;209.563995;3554.437012
50;1753459103.204439689;1751.026001;1523.260986;208.285004;3482.572021
51;1753459103.228509664;1831.133057;1524.985962;208.636002;3564.754883
52;1753459103.252584810;1927.359985;1523.260986;209.563995;3660.185059
53;1753459103.276653064;1737.604980;2119.641113;208.399002;4065.645020
54;1753459103.300716109;1637.125977;2184.065918;208.666000;4029.857910
55;1753459103.324776033;1669.389038;2175.845947;210.384003;4055.619141
56;1753459103.348837047;1658.258057;2131.624023;213.705002;4003.587158
57;1753459103.372896321;1662.260986;2206.038086;209.233002;4077.531982
58;1753459103.396956555;1662.897949;2120.649902;211.932007;3995.479980
59;1753459103.421016309;1672.717041;2104.304932;208.582993;3985.604980
60;1753459103.445076513;1654.259033;2188.187988;208.658997;4051.105957
61;1753459103.469136347;1640.262939;2219.018066;212.807999;4072.089111
62;1753459103.493196871;1653.937988;2212.569092;207.501007;4074.008057
63;1753459103.517257035;1661.723022;2116.458984;209.563995;3987.746094
64;1753459103.541317529;1653.942993;2203.757080;208.345993;4066.045898
65;1753459103.565376803;1655.192993;2326.620117;212.876007;4194.688965
66;1753459103.589436817;1643.249023;2139.382080;209.595001;3992.226074
67;1753459103.613497881;1662.744995;2216.355957;208.582993;4087.684082
68;1753459103.637557465;1642.526001;2308.793945;211.662003;4162.981934
69;1753459103.661621819;1651.968018;2123.228027;208.399002;3983.594971
70;1753459103.685682323;1642.640991;2114.664062;210.445999;3967.750977
71;1753459103.709741447;1671.293945;2295.385010;209.546997;4176.226074
72;1753459103.733801321;1640.151978;2194.308105;208.367996;4042.828125
73;1753459103.757861895;1659.176025;2109.628906;210.352997;3979.157959
74;1753459103.781924060;1649.871948;2330.122070;208.681000;4188.674805
75;1753459103.805983754;1675.621948;2127.384033;213.710007;4016.715820
76;1753459103.830043838;1648.651978;2173.291016;209.563995;4031.506836
77;1753459103.854104512;1646.612061;2176.656006;213.742004;4037.010010
78;1753459103.878164486;1668.758057;2176.714111;209.533997;4055.006104
79;1753459103.902224480;1642.527954;2172.381104;209.559006;4024.468262
80;1753459103.926283614;1652.495972;2115.035889;209.595001;3977.126953
81;1753459103.950344128;1645.488037;2113.083008;209.542007;3968.113037
82;1753459103.974403712;1644.392944;2202.191895;209.595001;4056.179688
83;1753459103.998463206;1662.042969;2111.214111;209.595001;3982.852051
84;1753459104.022523030;1649.303955;2216.198975;210.423996;4075.927002
85;1753459104.046583314;1644.444946;2117.291992;208.399002;3970.135742
86;1753459104.070643418;1647.979980;2205.945068;209.503006;4063.427979
87;1753459104.094703002;1654.802979;2177.933105;212.891006;4045.627197
88;1753459104.118762856;1657.088013;2160.269043;209.563995;4026.920898
89;1753459104.142822930;1657.913940;2172.974121;208.643997;4039.532227
90;1753459104.166883054;1645.511963;2323.616943;212.908005;4182.037109
91;1753459104.190943268;1660.461060;2124.966064;209.511993;3994.938965
92;1753459104.215003432;1645.784058;2208.575928;207.501007;4061.860840
93;1753459104.239063546;1633.362061;2246.663086;208.345993;4088.371094
94;1753459104.263124140;1654.042969;2196.687012;209.563995;4060.293945
95;1753459104.287185224;1672.407959;2118.033936;208.675003;3999.116943
96;1753459104.311244848;1660.439941;2290.709961;209.563995;4160.713867
97;1753459104.335304782;1656.875977;2204.233887;212.807999;4073.917969
98;1753459104.359364246;1652.097046;2210.541016;210.352997;4072.991211
99;1753459104.383424250;1667.687988;2113.717041;207.440002;3988.844971
100;1753459104.407484014;1648.727051;2103.457031;209.563995;3961.748047
101;1753459104.431543988;1640.764038;2200.395996;209.511993;4050.671875
102;1753459104.455603762;1688.187988;2195.534912;209.526001;4093.249023
103;1753459104.479664276;1668.446045;2157.781982;207.447998;4033.676025
104;1753459104.503724500;1654.405029;2182.197998;211.662994;4048.266113
105;1753459104.527784724;1663.316040;2117.187012;210.423996;3990.927246
106;1753459104.551846038;1679.217041;2114.664062;212.776001;4006.656982
107;1753459104.575905602;1653.656982;2115.657959;210.462997;3979.777832
108;1753459104.599965786;1644.291992;2208.010010;209.572998;4061.875000
109;1753459104.624025250;1653.020020;2176.362061;209.580994;4038.963135
110;1753459104.648084894;1673.156982;2158.716064;211.662994;4043.536133
111;1753459104.672145058;1642.258057;2174.169922;208.692001;4025.119873
112;1753459104.696204892;1669.254028;2326.260010;212.807999;4208.322266
113;1753459104.720265236;1653.904053;2124.388916;211.617004;3989.909912
114;1753459104.744325230;1676.678955;2213.929932;214.087006;4104.695801
115;1753459104.768385234;1658.197998;2284.510010;210.445999;4153.154297
116;1753459104.792444858;1658.948975;2197.914062;209.533997;4066.396973
117;1753459104.816505682;1648.754028;2117.354004;208.697006;3974.805176
118;1753459104.840566426;1639.248047;2329.620117;209.533997;4178.402344
119;1753459104.864626560;1664.269043;2217.330078;209.595001;4091.194092
120;1753459104.888686994;1656.508057;2140.319092;209.563995;4006.391113
121;1753459104.912747268;1640.909058;2155.031982;212.514008;4008.455078
122;1753459104.936808212;1672.717041;2150.982910;208.598007;4032.297852
123;1753459104.960868956;1661.837036;2160.302979;212.830002;4034.970215
124;1753459104.984932391;1728.870972;2228.439941;209.210999;4166.521973
125;1753459105.008994415;1645.943970;2109.448975;210.397995;3965.791016
126;1753459105.033054869;1659.854980;2209.627930;213.662994;4083.145996
127;1753459105.057115463;1659.255005;2112.879883;205.339996;3977.475098
128;1753459105.081175887;1653.942993;2109.461914;209.595001;3973.000000
129;1753459105.105236131;1662.152954;2211.481934;208.675003;4082.310059
130;1753459105.129296115;1668.156982;2210.825928;209.503006;4088.485840
131;1753459105.153356259;1643.114990;2189.414062;209.612000;4042.141113
132;1753459105.177416433;1626.692993;2155.513916;210.423996;3992.630859
133;1753459105.201477247;1663.616943;2156.016113;210.699005;4030.332031
134;1753459105.225538121;1672.603027;2323.752930;211.343994;4207.700195
135;1753459105.249599416;1653.665039;2127.959961;213.742004;3995.366943
136;1753459105.273613695;1666.599976;2221.756104;209.266006;4097.622070
137;1753459105.297675049;1650.264038;2282.308105;210.401001;4142.973145
138;1753459105.321734683;1675.974976;2128.881104;209.550995;4014.407227
139;1753459105.345794977;1632.751953;2115.657959;210.445999;3958.855957
140;1753459105.369855411;1658.276001;2328.605957;210.445999;4197.328125
141;1753459105.393915505;1648.152954;2204.312988;211.233002;4063.698730
142;1753459105.417975799;1662.738037;2130.471924;208.697006;4001.906982
143;1753459105.442038044;1655.947998;2329.322998;210.414993;4195.686035
144;1753459105.466098818;1658.586060;2157.160889;210.397995;4026.145020
145;1753459105.490159622;1634.522949;2136.593018;210.369995;3981.485840
146;1753459105.514220056;1669.876953;2228.081055;210.384003;4108.341797
147;1753459105.538279860;1647.613037;2202.625000;212.837006;4063.074951
148;1753459105.562339854;1650.272949;2198.314941;209.266006;4057.854004
149;1753459105.586399308;1656.038940;2117.354004;209.572998;3982.965820
150;1753459105.610459002;1657.050049;2114.779053;209.563995;3981.393066
151;1753459105.634518486;1664.510986;2213.216064;209.485992;4087.213135
152;1753459105.658578630;1642.384033;2121.196045;211.641006;3975.221191
153;1753459105.682638654;1640.114990;2190.006104;208.604996;4038.726074
154;1753459105.706699078;1664.655029;2149.964111;211.673004;4026.292236
155;1753459105.730758522;1655.083008;2173.089111;209.572998;4037.745117
156;1753459105.756861190;1867.290039;1682.594971;210.362000;3760.247070
157;1753459105.780926524;1666.913940;2159.705078;210.378998;4036.998047
158;1753459105.804988009;1668.209961;2132.269043;209.595001;4010.073975
159;1753459105.829048583;1657.479004;2213.660889;208.315994;4079.455811
160;1753459105.853109937;1653.520996;2301.093994;209.563995;4164.178711
161;1753459105.877170411;1667.558960;2130.174072;208.376999;4006.109863
162;1753459105.901230405;1674.373047;2228.243896;212.524002;4115.140625
163;1753459105.925290709;1667.248047;2293.047119;209.134995;4169.430176
164;1753459105.949351273;1640.659058;2200.395996;208.332001;4049.387207
165;1753459105.973411667;1635.074951;2116.256104;210.423996;3961.755127
166;1753459105.997472981;1662.944946;2340.539062;213.759003;4217.243164
167;1753459106.021534945;1657.264038;2196.628906;211.673004;4065.565918
168;1753459106.045596059;1674.989014;2199.419922;212.776001;4087.184814
169;1753459106.069637212;1657.977051;2167.196045;212.792999;4037.966064
170;1753459106.093700026;1668.201050;2165.627930;210.445999;4044.274902
171;1753459106.117761370;1660.442993;2128.881104;209.572998;3998.896973
172;1753459106.141822604;1647.827026;2129.980957;210.432007;3988.240234
173;1753459106.165884908;1637.385010;2116.543945;209.595001;3963.523926
174;1753459106.189947383;1659.543945;2210.634033;208.636002;4078.813965
175;1753459106.214008877;1649.769043;2114.791992;209.516998;3974.078125
176;1753459106.238071481;1653.129028;2114.645996;209.550995;3977.326172
177;1753459106.262134205;1650.245972;2131.479980;211.662994;3993.389160
178;1753459106.286195619;1679.912964;2233.927002;209.612000;4123.452148
179;1753459106.310255543;1652.916992;2208.530029;208.417999;4069.864990
180;1753459106.334317258;1641.614990;2132.331055;209.572998;3983.519043
181;1753459106.358379262;1654.285034;2156.820068;213.781998;4024.887207
182;1753459106.382440496;1656.902954;2329.120117;208.289993;4194.312988
183;1753459106.406502220;1635.510986;2146.971924;209.533997;3992.016846
184;1753459106.430562014;1655.187012;2206.361084;209.546997;4071.095215
185;1753459106.454622188;1659.292969;2278.474121;208.337997;4146.104980
186;1753459106.478682192;1671.598999;2198.647949;213.658005;4083.904785
187;1753459106.502743476;1659.808960;2118.091064;209.542007;3987.441895
188;1753459106.526803350;1658.541016;2335.290039;209.589996;4203.420898
189;1753459106.550865605;1656.145020;2192.392090;209.563995;4058.101074
190;1753459106.574927189;1633.496948;2153.461914;210.462997;3997.421875
191;1753459106.598989213;1650.435059;2176.683105;209.563995;4036.682129
192;1753459106.623050917;1656.478027;2178.916016;209.589996;4044.984131
193;1753459106.647111591;1647.666992;2122.185059;208.315994;3978.167969
194;1753459106.671172655;1665.973022;2231.516113;209.503006;4106.992188
195;1753459106.695232179;1657.134033;2115.377930;210.462006;3982.973877
196;1753459106.719293713;1643.657959;2205.387939;212.908005;4061.953857
197;1753459106.743353657;1630.567017;2121.466064;212.492004;3964.524902
198;1753459106.767415272;1661.517944;2112.970947;209.278000;3983.767090
199;1753459106.791475166;1662.146973;2218.539062;209.578003;4090.264160
200;1753459106.815535340;1651.100952;2214.690918;210.410004;4076.201660
